site_code,region_name,region_lat_name,region_code_label,avg_site_lat,sst20_summer_mean_c,sst20_summer_sd_c,sst21_summer_mean_c,sst21_summer_sd_c,sst22_summer_mean_c,sst22_summer_sd_c,sst23_summer_mean_c,sst23_summer_sd_c,sst24_summer_mean_c,sst24_summer_sd_c,region_code,region_name_label,samples,sites,mean_5yr_site
CC_GOG1,BC_CC,4,Central Coast British Columbia,51.92385,14.240458488464355,1.4234025478363037,14.144124031066895,1.1171067953109741,14.149749755859375,2.140990734100342,14.44959545135498,1.6676281690597534,14.44959545135498,1.6676281690597534,BC_CC,Central Coast British Columbia,104,6,14.286704635620117
CC_KIS2,BC_CC,4,Central Coast British Columbia,51.8367216666667,14.39079761505127,1.4007023572921753,14.34522533416748,0.9991642832756042,14.298991203308105,2.1880533695220947,14.47508716583252,1.6112643480300903,14.47508716583252,1.6112643480300903,BC_CC,Central Coast British Columbia,104,6,14.397037696838378
CC_PBA,BC_CC,4,Central Coast British Columbia,51.646445,14.33427906036377,1.435126543045044,14.376973152160645,1.0860129594802856,14.222004890441895,2.194596290588379,14.36632251739502,1.594870924949646,14.36632251739502,1.594870924949646,BC_CC,Central Coast British Columbia,104,6,14.33318042755127
CC_CHP,BC_CC,4,Central Coast British Columbia,51.60867225,14.33489990234375,1.4760392904281616,14.36681079864502,1.0987752676010132,14.200947761535645,2.1895346641540527,14.32359790802002,1.5846643447875977,14.32359790802002,1.5846643447875977,BC_CC,Central Coast British Columbia,104,6,14.30997085571289
CC_KIS1,BC_CC,4,Central Coast British Columbia,51,13.951191902160645,1.5257771015167236,13.786702156066895,1.5081138610839844,13.6956787109375,1.9203287363052368,14.00110912322998,1.4444211721420288,14.00110912322998,1.4444211721420288,BC_CC,Central Coast British Columbia,104,6,13.887158203125
NV_KC,BC_NV,5,"North Vancouver Island, British Columbia",50.52238825,13.807539338866869,1.3781575883428256,13.679193243384361,1.3379469482849042,12.858349685867628,1.424210550263524,12.620181570450464,1.462844731286168,12.620181570450464,1.462844731286168,BC_NV,"North Vancouver Island, British Columbia",98,5,13.117089081803957
NV_PC,BC_NV,5,"North Vancouver Island, British Columbia",50.5181539125,13.794403076171875,1.3758996725082397,13.659637451171875,1.334232211112976,12.87200927734375,1.4232186079025269,12.648051261901855,1.4608741998672485,12.648051261901855,1.4608741998672485,BC_NV,"North Vancouver Island, British Columbia",98,5,13.124430465698243
NV_KB,BC_NV,5,"North Vancouver Island, British Columbia",50.4971572,13.727569580078125,1.3740489482879639,13.544219970703125,1.358945608139038,13.04963207244873,1.4474952220916748,12.952717781066895,1.6575385332107544,12.952717781066895,1.6575385332107544,BC_NV,"North Vancouver Island, British Columbia",98,5,13.245371437072754
NV_BI,BC_NV,5,"North Vancouver Island, British Columbia",50.488348975,13.733480859280998,1.4651842730434712,13.458984630497273,1.375528790547718,13.208131195822554,1.475073156179193,13.31918670659762,1.95231550402491,13.31918670659762,1.95231550402491,BC_NV,"North Vancouver Island, British Columbia",98,5,13.407794019759214
NV_JL,BC_NV,5,"North Vancouver Island, British Columbia",50.4440990666667,13.820932375418174,1.374152519412943,13.70060876253489,1.331879287152677,12.827029859697497,1.4171998774683154,12.575645942945737,1.4362972862011678,12.575645942945737,1.4362972862011678,BC_NV,"North Vancouver Island, British Columbia",98,5,13.099972576708407
