motu,motu_swarm,asv,curated,lulu_rank,found_taxa,common_name,rank,identity_percentage,evalue,kingdom,phylum,class,order,family,genus,freshwater_only,biogeographical_notes,group,fish_base_url,n_dups,remove
motu1231,motu1231,ASV3152,parent,1243,Bos,Cow,offtarget,99.401,4.3399999999999995e-82,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1260,motu1260,ASV3208,parent,1270,Bos,Cow,offtarget,98.802,2.0300000000000002e-80,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1268,motu1268,ASV3222,parent,1279,Bos,Cow,offtarget,98.81,2.02e-80,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1281,motu1281,ASV3249,parent,1290,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1292,motu1292,ASV3282,parent,1302,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1293,motu1293,ASV3283,parent,1306,Bos,Cow,offtarget,97.619,1.22e-77,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1311,motu1311,ASV3310,parent,1321,Bos,Cow,offtarget,97.619,4.37e-77,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1318,motu1318,ASV3322,parent,1327,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1319,motu1319,ASV3324,parent,1328,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1321,motu1321,ASV3329,parent,1331,Bos,Cow,offtarget,98.193,3.4e-78,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1394,motu1394,ASV3449,parent,1403,Bos,Cow,offtarget,98.81,5.65e-81,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu1428,motu1428,ASV3496,parent,1436,Bos,Cow,offtarget,98.214,2.6300000000000003e-79,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu808,motu808,ASV2187,parent,533,Bovidae,Cow,offtarget,92.262,1.25e-62,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu808,motu808,ASV3068,parent,533,Bovidae,Cow,offtarget,92.262,1.25e-62,Eukaryota,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,NA,NA,NA,NA,NA,NA
motu39,motu39,ASV42,parent,42,Brachygenys californiensis,Californian salema,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Brachygenys,0,NA,NA,NA,NA,NA
motu39,motu39,ASV267,parent,42,Brachygenys californiensis,Californian salema,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Brachygenys,0,NA,NA,NA,NA,NA
motu39,motu39,ASV753,parent,42,Brachygenys californiensis,Californian salema,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Brachygenys,0,NA,NA,NA,NA,NA
motu39,motu39,ASV2154,parent,42,Brachygenys californiensis,Californian salema,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Brachygenys,0,NA,NA,NA,NA,NA
motu39,motu39,ASV2410,parent,42,Brachygenys californiensis,Californian salema,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Brachygenys,0,NA,NA,NA,NA,NA
motu1015,motu1015,ASV2711,parent,1029,Brachygenys californiensis,Californian salema,species,98.817,1.58e-81,Eukaryota,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Brachygenys,0,NA,NA,NA,NA,NA
motu57,motu57,ASV65,parent,56,Brachyistius frenatus,Kelp perch,species,100,7.31e-85,Eukaryota,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Brachyistius,0,south to northern BC,Perches,https://www.fishbase.ca/summary/3625,1,NA
