seed_asv,motu,asv,asv_reads
ASV2884,motu1027,ASV2884,318
ASV2884,motu1027,ASV2884,318
ASV2885,motu1028,ASV2885,318
ASV2885,motu1028,ASV2885,318
ASV2891,motu1029,ASV2891,316
ASV2891,motu1029,ASV2891,316
ASV2893,motu1030,ASV2893,315
ASV2893,motu1030,ASV2893,315
ASV2894,motu1031,ASV2894,315
ASV2894,motu1031,ASV2894,315
ASV2896,motu1032,ASV2896,315
ASV2896,motu1032,ASV2896,315
ASV2897,motu1033,ASV2897,315
ASV2897,motu1033,ASV2897,315
ASV2899,motu1034,ASV2899,315
ASV2899,motu1034,ASV3753,160
ASV2899,motu1034,ASV3772,157
ASV2899,motu1034,ASV2899,632
ASV2901,motu1035,ASV2901,314
ASV2901,motu1035,ASV2901,314
ASV2902,motu1036,ASV2902,314
ASV2902,motu1036,ASV2902,314
ASV2903,motu1037,ASV2903,314
ASV2903,motu1037,ASV2903,314
ASV2905,motu1038,ASV2905,313
ASV2905,motu1038,ASV2905,313
ASV2907,motu1039,ASV2907,313
ASV2907,motu1039,ASV2907,313
ASV2910,motu1040,ASV2910,312
ASV2910,motu1040,ASV2910,312
ASV2912,motu1041,ASV2912,311
ASV2912,motu1041,ASV2912,311
ASV2915,motu1042,ASV2915,310
ASV2915,motu1042,ASV2915,310
ASV2916,motu1043,ASV2916,309
ASV2916,motu1043,ASV2916,309
ASV2918,motu1044,ASV2918,309
ASV2918,motu1044,ASV2918,309
ASV2919,motu1045,ASV2919,309
ASV2919,motu1045,ASV2919,309
ASV2922,motu1046,ASV2922,308
ASV2922,motu1046,ASV2922,308
ASV2924,motu1047,ASV2924,308
ASV2924,motu1047,ASV2924,308
ASV2927,motu1048,ASV2927,307
ASV2927,motu1048,ASV2927,307
ASV2928,motu1049,ASV2928,307
ASV2928,motu1049,ASV4360,82
ASV2928,motu1049,ASV2928,389
ASV2929,motu1050,ASV2929,307
ASV2929,motu1050,ASV2929,307
ASV2931,motu1051,ASV2931,306
ASV2931,motu1051,ASV2931,306
ASV2932,motu1052,ASV2932,306
ASV2932,motu1052,ASV2932,306
ASV2933,motu1053,ASV2933,305
ASV2933,motu1053,ASV2933,305
ASV2934,motu1054,ASV2934,305
ASV2934,motu1054,ASV2934,305
ASV2935,motu1055,ASV2935,305
ASV2935,motu1055,ASV2935,305
ASV2939,motu1056,ASV2939,304
ASV2939,motu1056,ASV3771,158
ASV2939,motu1056,ASV2939,462
ASV2941,motu1057,ASV2941,303
ASV2941,motu1057,ASV2941,303
ASV2948,motu1058,ASV2948,302
ASV2948,motu1058,ASV2948,302
ASV2955,motu1059,ASV2955,300
ASV2955,motu1059,ASV2955,300
ASV2956,motu1060,ASV2956,300
ASV2956,motu1060,ASV2956,300
ASV2958,motu1061,ASV2958,300
ASV2958,motu1061,ASV3177,255
ASV2958,motu1061,ASV4004,129
ASV2958,motu1061,ASV2958,684
ASV2959,motu1062,ASV2959,300
ASV2959,motu1062,ASV2959,300
ASV2961,motu1063,ASV2961,299
ASV2961,motu1063,ASV2961,299
ASV2965,motu1064,ASV2965,299
ASV2965,motu1064,ASV2965,299
ASV2966,motu1065,ASV2966,299
ASV2966,motu1065,ASV2966,299
ASV2968,motu1066,ASV2968,298
ASV2968,motu1066,ASV2968,298
ASV2974,motu1067,ASV2974,298
ASV2974,motu1067,ASV2974,298
ASV2976,motu1068,ASV2976,297
ASV2976,motu1068,ASV2976,297
ASV2977,motu1069,ASV2977,297
ASV2977,motu1069,ASV4512,60
ASV2977,motu1069,ASV2977,357
ASV2981,motu1070,ASV2981,297
ASV2981,motu1070,ASV2981,297
ASV2983,motu1071,ASV2983,296
ASV2983,motu1071,ASV2983,296
ASV2984,motu1072,ASV2984,296
ASV2984,motu1072,ASV2984,296
ASV2987,motu1073,ASV2987,295
ASV2987,motu1073,ASV2987,295
ASV2989,motu1074,ASV2989,295
ASV2989,motu1074,ASV2989,295
ASV2990,motu1075,ASV2990,294
ASV2990,motu1075,ASV2990,294
ASV2996,motu1076,ASV2996,294
ASV2996,motu1076,ASV2996,294
ASV3000,motu1077,ASV3000,293
ASV3000,motu1077,ASV3000,293
ASV3004,motu1078,ASV3004,292
ASV3004,motu1078,ASV3004,292
ASV3009,motu1079,ASV3009,290
ASV3009,motu1079,ASV3009,290
ASV3010,motu1080,ASV3010,290
ASV3010,motu1080,ASV3010,290
ASV3011,motu1081,ASV3011,290
ASV3011,motu1081,ASV3011,290
ASV3012,motu1082,ASV3012,289
ASV3012,motu1082,ASV3012,289
ASV3013,motu1083,ASV3013,289
ASV3013,motu1083,ASV3013,289
ASV3014,motu1084,ASV3014,289
ASV3014,motu1084,ASV3014,289
ASV3017,motu1085,ASV3017,288
ASV3017,motu1085,ASV3017,288
ASV3019,motu1086,ASV3019,288
ASV3019,motu1086,ASV3019,288
ASV3026,motu1087,ASV3026,287
ASV3026,motu1087,ASV3026,287
ASV3027,motu1088,ASV3027,287
ASV3027,motu1088,ASV3027,287
ASV3028,motu1089,ASV3028,287
ASV3028,motu1089,ASV3028,287
ASV3030,motu1090,ASV3030,286
ASV3030,motu1090,ASV3030,286
ASV3035,motu1091,ASV3035,285
ASV3035,motu1091,ASV3035,285
ASV3039,motu1092,ASV3039,284
ASV3039,motu1092,ASV3039,284
ASV3041,motu1093,ASV3041,281
ASV3041,motu1093,ASV3041,281
ASV3043,motu1094,ASV3043,281
ASV3043,motu1094,ASV3043,281
ASV3045,motu1095,ASV3045,281
ASV3045,motu1095,ASV3045,281
ASV3046,motu1096,ASV3046,280
ASV3046,motu1096,ASV3046,280
ASV3048,motu1097,ASV3048,280
ASV3048,motu1097,ASV3048,280
ASV3050,motu1098,ASV3050,280
ASV3050,motu1098,ASV3050,280
ASV3052,motu1099,ASV3052,280
ASV3052,motu1099,ASV3099,269
ASV3052,motu1099,ASV3384,216
ASV3052,motu1099,ASV3455,205
ASV3052,motu1099,ASV3722,164
ASV3052,motu1099,ASV3892,143
ASV3052,motu1099,ASV4146,112
ASV3052,motu1099,ASV4175,109
ASV3052,motu1099,ASV4344,85
ASV3052,motu1099,ASV3681,170
ASV3052,motu1099,ASV3682,170
ASV3052,motu1099,ASV3776,157
ASV3052,motu1099,ASV3982,131
ASV3052,motu1099,ASV4085,119
ASV3052,motu1099,ASV4259,97
ASV3052,motu1099,ASV4260,97
ASV3052,motu1099,ASV4288,93
ASV3052,motu1099,ASV4289,93
ASV3052,motu1099,ASV4304,91
ASV3052,motu1099,ASV4313,90
ASV3052,motu1099,ASV4345,85
ASV3052,motu1099,ASV4369,81
ASV3052,motu1099,ASV4370,81
ASV3052,motu1099,ASV4389,77
ASV3052,motu1099,ASV4390,77
ASV3052,motu1099,ASV4417,72
ASV3052,motu1099,ASV4427,71
ASV3052,motu1099,ASV4501,61
ASV3052,motu1099,ASV4515,60
ASV3052,motu1099,ASV4522,59
ASV3052,motu1099,ASV3944,136
ASV3052,motu1099,ASV4193,106
ASV3052,motu1099,ASV4199,105
ASV3052,motu1099,ASV4235,100
ASV3052,motu1099,ASV4317,89
ASV3052,motu1099,ASV4346,85
ASV3052,motu1099,ASV4353,83
ASV3052,motu1099,ASV4380,79
ASV3052,motu1099,ASV4399,75
ASV3052,motu1099,ASV4418,72
ASV3052,motu1099,ASV4420,72
ASV3052,motu1099,ASV4426,71
ASV3052,motu1099,ASV4438,69
ASV3052,motu1099,ASV4439,69
ASV3052,motu1099,ASV4462,66
ASV3052,motu1099,ASV4477,64
ASV3052,motu1099,ASV4494,62
ASV3052,motu1099,ASV4514,60
ASV3052,motu1099,ASV4539,57
ASV3052,motu1099,ASV4561,54
ASV3052,motu1099,ASV4575,52
ASV3052,motu1099,ASV4587,50
ASV3052,motu1099,ASV4595,48
ASV3052,motu1099,ASV4632,41
ASV3052,motu1099,ASV4662,37
ASV3052,motu1099,ASV4693,33
ASV3052,motu1099,ASV4361,82
ASV3052,motu1099,ASV4381,79
ASV3052,motu1099,ASV4393,76
ASV3052,motu1099,ASV4419,72
ASV3052,motu1099,ASV4467,65
ASV3052,motu1099,ASV4468,65
ASV3052,motu1099,ASV4484,63
ASV3052,motu1099,ASV4499,61
ASV3052,motu1099,ASV4523,59
ASV3052,motu1099,ASV4531,58
ASV3052,motu1099,ASV4532,58
ASV3052,motu1099,ASV4540,57
ASV3052,motu1099,ASV4574,52
ASV3052,motu1099,ASV4640,40
ASV3052,motu1099,ASV4666,36
ASV3052,motu1099,ASV4719,29
ASV3052,motu1099,ASV4551,56
ASV3052,motu1099,ASV4573,52
ASV3052,motu1099,ASV4581,51
ASV3052,motu1099,ASV4600,47
ASV3052,motu1099,ASV4606,46
ASV3052,motu1099,ASV4648,39
ASV3052,motu1099,ASV4702,32
ASV3052,motu1099,ASV3052,6725
ASV3053,motu1100,ASV3053,280
ASV3053,motu1100,ASV3053,280
ASV3056,motu1101,ASV3056,279
ASV3056,motu1101,ASV3056,279
ASV3057,motu1102,ASV3057,279
ASV3057,motu1102,ASV3057,279
ASV3058,motu1103,ASV3058,279
ASV3058,motu1103,ASV3058,279
ASV3063,motu1104,ASV3063,278
ASV3063,motu1104,ASV3063,278
ASV3066,motu1105,ASV3066,277
ASV3066,motu1105,ASV3066,277
ASV3067,motu1106,ASV3067,277
ASV3067,motu1106,ASV3067,277
ASV3068,motu1107,ASV3068,276
ASV3068,motu1107,ASV3068,276
ASV3070,motu1108,ASV3070,276
ASV3070,motu1108,ASV3070,276
ASV3074,motu1109,ASV3074,276
ASV3074,motu1109,ASV3074,276
ASV3077,motu1110,ASV3077,274
ASV3077,motu1110,ASV3077,274
ASV3079,motu1111,ASV3079,274
ASV3079,motu1111,ASV3079,274
ASV3081,motu1112,ASV3081,274
ASV3081,motu1112,ASV3081,274
ASV3089,motu1113,ASV3089,271
ASV3089,motu1113,ASV3089,271
ASV3090,motu1114,ASV3090,271
ASV3090,motu1114,ASV4836,16
ASV3090,motu1114,ASV3090,287
ASV3093,motu1115,ASV3093,271
ASV3093,motu1115,ASV4753,26
ASV3093,motu1115,ASV3093,297
ASV3095,motu1116,ASV3095,270
ASV3095,motu1116,ASV3095,270
ASV3101,motu1117,ASV3101,269
ASV3101,motu1117,ASV3101,269
ASV3102,motu1118,ASV3102,269
ASV3102,motu1118,ASV3102,269
ASV3105,motu1119,ASV3105,268
ASV3105,motu1119,ASV3105,268
ASV3108,motu1120,ASV3108,267
ASV3108,motu1120,ASV3108,267
ASV3112,motu1121,ASV3112,266
ASV3112,motu1121,ASV3112,266
ASV3117,motu1122,ASV3117,265
ASV3117,motu1122,ASV3117,265
ASV3118,motu1123,ASV3118,265
ASV3118,motu1123,ASV3118,265
ASV3121,motu1124,ASV3121,264
ASV3121,motu1124,ASV3121,264
ASV3123,motu1125,ASV3123,264
ASV3123,motu1125,ASV3123,264
ASV3124,motu1126,ASV3124,264
ASV3124,motu1126,ASV3124,264
ASV3130,motu1127,ASV3130,263
ASV3130,motu1127,ASV3130,263
ASV3131,motu1128,ASV3131,263
ASV3131,motu1128,ASV3131,263
ASV3133,motu1129,ASV3133,262
ASV3133,motu1129,ASV3133,262
ASV3135,motu1130,ASV3135,261
ASV3135,motu1130,ASV3135,261
ASV3149,motu1131,ASV3149,259
ASV3149,motu1131,ASV3149,259
ASV3150,motu1132,ASV3150,259
ASV3150,motu1132,ASV3150,259
ASV3151,motu1133,ASV3151,259
ASV3151,motu1133,ASV3151,259
ASV3155,motu1134,ASV3155,258
ASV3155,motu1134,ASV3155,258
ASV3156,motu1135,ASV3156,258
ASV3156,motu1135,ASV3156,258
ASV3158,motu1136,ASV3158,258
ASV3158,motu1136,ASV3158,258
ASV3159,motu1137,ASV3159,258
ASV3159,motu1137,ASV3159,258
ASV3163,motu1138,ASV3163,257
ASV3163,motu1138,ASV3163,257
ASV3164,motu1139,ASV3164,257
ASV3164,motu1139,ASV3164,257
ASV3165,motu1140,ASV3165,257
ASV3165,motu1140,ASV3165,257
ASV3167,motu1141,ASV3167,256
ASV3167,motu1141,ASV3167,256
ASV3170,motu1142,ASV3170,256
ASV3170,motu1142,ASV3170,256
ASV3171,motu1143,ASV3171,256
ASV3171,motu1143,ASV3171,256
ASV3175,motu1144,ASV3175,255
ASV3175,motu1144,ASV3175,255
ASV3176,motu1145,ASV3176,255
ASV3176,motu1145,ASV4505,61
ASV3176,motu1145,ASV3176,316
ASV3178,motu1146,ASV3178,255
ASV3178,motu1146,ASV3178,255
ASV3179,motu1147,ASV3179,254
ASV3179,motu1147,ASV3179,254
ASV3183,motu1148,ASV3183,253
ASV3183,motu1148,ASV3183,253
ASV3187,motu1149,ASV3187,252
ASV3187,motu1149,ASV3187,252
ASV3189,motu1150,ASV3189,252
ASV3189,motu1150,ASV3189,252
ASV3193,motu1151,ASV3193,251
ASV3193,motu1151,ASV3655,173
ASV3193,motu1151,ASV3193,424
ASV3194,motu1152,ASV3194,251
ASV3194,motu1152,ASV3194,251
ASV3195,motu1153,ASV3195,251
ASV3195,motu1153,ASV3195,251
ASV3196,motu1154,ASV3196,250
ASV3196,motu1154,ASV3196,250
ASV3198,motu1155,ASV3198,249
ASV3198,motu1155,ASV3198,249
ASV3201,motu1156,ASV3201,249
ASV3201,motu1156,ASV3201,249
ASV3204,motu1157,ASV3204,249
ASV3204,motu1157,ASV3204,249
ASV3205,motu1158,ASV3205,248
ASV3205,motu1158,ASV3205,248
ASV3210,motu1159,ASV3210,248
ASV3210,motu1159,ASV3210,248
ASV3212,motu1160,ASV3212,248
ASV3212,motu1160,ASV3212,248
ASV3215,motu1161,ASV3215,247
ASV3215,motu1161,ASV3215,247
ASV3217,motu1162,ASV3217,247
ASV3217,motu1162,ASV3217,247
ASV3219,motu1163,ASV3219,246
ASV3219,motu1163,ASV3219,246
ASV3221,motu1164,ASV3221,246
ASV3221,motu1164,ASV3221,246
ASV3222,motu1165,ASV3222,246
ASV3222,motu1165,ASV3222,246
ASV3227,motu1166,ASV3227,245
ASV3227,motu1166,ASV3227,245
ASV3229,motu1167,ASV3229,245
ASV3229,motu1167,ASV3229,245
ASV3230,motu1168,ASV3230,245
ASV3230,motu1168,ASV3230,245
ASV3231,motu1169,ASV3231,245
ASV3231,motu1169,ASV3231,245
ASV3233,motu1170,ASV3233,244
ASV3233,motu1170,ASV3233,244
ASV3234,motu1171,ASV3234,244
ASV3234,motu1171,ASV3234,244
ASV3236,motu1172,ASV3236,244
ASV3236,motu1172,ASV3236,244
ASV3237,motu1173,ASV3237,244
ASV3237,motu1173,ASV3237,244
ASV3245,motu1174,ASV3245,242
ASV3245,motu1174,ASV3245,242
ASV3246,motu1175,ASV3246,242
ASV3246,motu1175,ASV3246,242
ASV3250,motu1176,ASV3250,241
ASV3250,motu1176,ASV3250,241
ASV3252,motu1177,ASV3252,239
ASV3252,motu1177,ASV3252,239
ASV3254,motu1178,ASV3254,239
ASV3254,motu1178,ASV3254,239
ASV3255,motu1179,ASV3255,239
ASV3255,motu1179,ASV4493,62
ASV3255,motu1179,ASV3255,301
ASV3256,motu1180,ASV3256,239
ASV3256,motu1180,ASV3256,239
ASV3259,motu1181,ASV3259,238
