species,common_name,overlap2,edna_max,edna_min,bd_max,bd_min,edna_sub,bd_sub
Lepidogobius lepidus,Bay goby,0.9,55.5986045,35.3604406666667,55.016667,32.61,2.750440666666698,0.5819375000000022
Thunnus alalunga,Albacore,0.9,55.7402015,32.714169,48.367512,35.361667,0,10.020187499999999
Synchirus gilli,Manacled sculpin,0.9,52.0534175,48.88829575,58.25,35.22,19.864878249999997,0
Quietula y-cauda,American shadow goby,0.9,55.7402015,32.7005,35.39,32.6230010986,0.07749890139999849,20.350201499999997
Liparis florae,Tidepool snailfish,0.9,52.0534175,48.88829575,58.375893,35.21,20.000771249999993,0
Engraulis mordax,Californian anchovy,0.9,55.2476495,32.7005,52.742582,32,0.7004999999999981,2.5050675000000027
Hemilepidotus hemilepidotus,Red Irish lord,0.9,54.0090613333333,37.9460853333333,58.561722,35.21,7.288746000000003,0
Rhinogobiops nicholsii,Blackeye goby,0.9,52.631124,35.372155,55.5,32.07,6.171030999999999,0
Brachyistius frenatus,Kelp perch,0.9,52.631124,38.184255,55.53,32,9.083131000000002,0
Citharichthys sordidus,Pacific sanddab,0.9,52.631124,40.737335,55.604730000000004,32.07,11.640941000000005,0
Apodichthys flavidus,Penpoint gunnel,0.9,53.15408083335,35.37217,58.175,34.510228,5.882861166649995,0
Aulorhynchus flavidus,Tube-snout,0.9,55.708296,44.612145,56.373611,32.6793,12.59816,0
Pleuronichthys coenosus,C-O sole,0.9,54.009667,35.3604406666667,56.13,32.415366,5.065407666666701,0
Oxylebius pictus,Painted greenling,0.9,52.631124,48.8769888889,56.17,32.440497,19.975367888900003,0
Syngnathus californiensis,Bay pipefish,0.9,55.7402015,32.714169,56.14,32.4,0.7139675000000025,0
Citharichthys stigmaeus,Speckled sanddab,0.9,55.5986045,32.714169,56.15,32.07,1.1955644999999961,0
Sebastes paucispinis,Bocaccio rockfish,0.9,40.772352,35.372155,56.383333,32.270379,18.712757000000003,0
Platichthys stellatus,Starry flounder,0.9,58.6628818,38.184255,59.465,34.97,4.016373200000004,0
Hexagrammos decagrammus,Kelp greenling,0.9,54.009667,35.372155,58.36,33.747002,5.9754859999999965,0
Oncorhynchus kisutch,Coho salmon,0.9,58.6628818,33.7680093197464,58.79,37.0849990845,0.12711819999999818,3.3169897647536004
Hydrolagus colliei,Spotted ratfish,0.9,52.57346275,32.714169,57.775653,32.78,5.202190250000001,0.06583100000000286
Hippoglossus stenolepis,Pacific halibut,0.9,58.6628818,44.612145,58.850854,33.75376,11.046357199999996,0
Scorpaenichthys marmoratus,Cabezon,0.9,55.2476495,35.36039,57.773438,32.536951,5.349227499999998,0
Sebastes entomelas,Widow rockfish,0.9,52.5735836666667,32.714169,58.03,33.2,5.456416333333301,0.48583100000000456
Artedius harringtoni,Scalyhead sculpin,0.9,58.627345,32.9605182666667,56.283333,35.21,0,4.593493733333297
Salmo salar,Atlantic salmon,0.9,58.3811220833333,32.714169,55.34,48.801679,0,19.1286320833333
Oncorhynchus clarkii,Cutthroat trout,0.9,58.6628818,33.6212941333333,59.336272,40.554647,0.6733902,6.933352866666702
Paralabrax maculatofasciatus,Spotted sand bass,0.9,58.3811220833333,32.7005,33.987274,32.579205,0.12129499999999638,24.393848083333303
Anoplopoma fimbria,Sablefish,0.9,58.385519775,35.36039,58.4,32.553796,2.821074225000004,0
Artedius lateralis,Smoothhead sculpin,0.9,55.2476495,33.6212996,58.472309,32.6,4.2459591,0
Anarrhichthys ocellatus,Wolf eel,0.9,52.57346275,48.6917997,58.42,32.529,22.009336949999998,0
Clupea pallasii,Pacific herring,0.9,58.6628818,32.714169,58.627614,33.74,0,1.0610988000000035
Oncorhynchus keta,Chum salmon,0.9,58.6628818,32.7777246666667,58.79,38.061099,0.12711819999999818,5.283374333333299
Pholis laeta,Crescent gunnel,0.9,58.6628818,32.7005,58.75,40.13,0.08711819999999904,7.429500000000004
Cymatogaster aggregata,Shiner perch,0.9,58.6628818,32.7005,58.00285,32.55,0.15050000000000097,0.6600317999999987
Ophiodon elongatus,Lingcod,0.9,58.3811220833333,35.372155,58.6,32.413826,3.177206916666698,0
Mugil cephalus,Flathead grey mullet,0.9,58.3811220833333,32.714169,37.808568,32.092222,0.6219469999999987,20.5725540833333
Gasterosteus aculeatus,Three-spined stickleback,0.9,58.6628818,33.6021573333333,59.28,32.820812,1.398463533333306,0
Leptocottus armatus,Pacific staghorn sculpin,0.9,58.6628818,32.9605182666667,58.624832,32.092222,0.8682962666667038,0.03804980000000313
Oncorhynchus gorbuscha,Pink salmon,0.9,58.6628818,32.714169,59.330005,37.885,0.6671231999999989,5.170831
Atherinops affinis,Topsmelt silverside,0.9,58.627345,32.7005,46.211369,32,0.7004999999999981,12.415976
Oncorhynchus tshawytscha,Chinook salmon,0.9,58.6628818,32.714169,59.36,36.9798,0.6971181999999985,4.265630999999999
Merluccius productus,North Pacific hake,0.9,58.662827,33.756244,54.67133,32,1.7562440000000024,3.9914970000000025
