"","sample_id","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percent_retained_aftermerge","percent_notsingleton","percent_notchimera"
"75","filtered20250425_PECOe-075_S71_R1_001",185754,185754,185754,185754,185675,184967,182379,182207,178808,98.224855257843,99.90569089643,98.1345392877332
"76","filtered20250425_PECOe-106_S72_R1_001",29811,29811,29811,29811,29802,29768,29582,29582,29582,99.2617945104355,100,100
"77","filtered20250425_PECOe-107_S73_R1_001",173953,173953,173953,173953,173802,173588,170742,170710,164224,98.2393758414748,99.9812582727156,96.2005740729893
"78","filtered20250425_PECOe-108_S74_R1_001",141854,141854,141854,141854,141810,141635,139302,138827,137390,98.2314364290248,99.65901422808,98.964898758887
"79","filtered20250425_PECOe-109_S75_R1_001",218294,218294,218294,218294,218208,218014,213968,213962,211916,98.056899838686,99.997195842369,99.0437554332078
"80","filtered20250425_PECOe-110_S76_R1_001",208947,208947,208947,208947,208830,208462,206117,206089,197983,98.7008571565388,99.9864154824687,96.0667478613609
"81","filtered20250425_PECOe-112_S78_R1_001",126805,126805,126805,126805,126692,126503,124638,124568,118336,98.3787453035709,99.9438373529742,94.9971100122022
"82","filtered20250425_PECOe-113_S79_R1_001",194739,194739,194739,194739,194667,194358,190526,190380,186372,97.8727776151068,99.9233700387349,97.8947368421053
"83","filtered20250425_PECOe-114_S80_R1_001",211940,211940,211940,211940,211891,211636,206371,206078,201343,97.3948869937845,99.8580226872962,97.7023263036326
"84","filtered20250425_PECOe-115_S81_R1_001",175332,175332,175332,175332,175159,174648,171502,170638,154472,97.9121826454821,99.496215787571,90.5261430630926
"85","filtered20250425_PECOe-117_S83_R1_001",180650,180650,180650,180650,180567,179459,177107,176554,174078,98.0838137644199,99.6877593770997,98.5975962028615
"86","filtered20250425_PECOe-118_S84_R1_001",222535,222535,222535,222535,222361,222189,218381,218381,214156,98.2101177814455,100,98.0653078793485
"87","filtered20250425_PECOe-119_S85_R1_001",241879,241879,241879,241879,241762,241396,237116,236956,231781,98.078275328629,99.9325224784494,97.8160502371748
"88","filtered20250425_PECOe-120_S86_R1_001",225420,225420,225420,225420,225368,225163,221566,221539,221539,98.3129814348088,99.9878140147857,100
"89","filtered20250425_PECOe-121_S87_R1_001",1066,1066,1066,1066,1065,1064,1063,1063,1063,99.81220657277,100,100
"90","filtered20250425_PECOe-122_S88_R1_001",181891,181891,181891,181891,181832,181648,176897,176897,175824,97.2859562673237,100,99.3934323363313
"91","filtered20250425_PECOe-123_S89_R1_001",245186,245186,245186,245186,245126,244929,241340,241340,238820,98.4554881979064,100,98.9558299494489
"92","filtered20250425_PECOe-124_S90_R1_001",118338,118338,118338,118338,118285,118064,115924,115829,114959,98.003973453946,99.9180497567372,99.2488927643336
"93","filtered20250425_PECOe-125_S91_R1_001",210223,210223,210223,210223,210132,209925,206774,206734,204109,98.4019568652085,99.9806552081016,98.7302524016369
"94","filtered20250425_PECOe-126_S92_R1_001",61,61,61,61,61,61,61,61,61,100,100,100
"95","filtered20250425_PECOe-127_S93_R1_001",177271,177271,177271,177271,177200,176843,173908,173864,170994,98.1422121896162,99.9746992662787,98.3492844982285
"96","filtered20250425_PECOe-128_S94_R1_001",205684,205684,205684,205684,205645,205486,202833,202830,202830,98.6325950059569,99.9985209507329,100
"97","filtered20250425_PECOe-129_S95_R1_001",163304,163304,163304,163304,163249,163071,159723,159655,158767,97.8401092809144,99.957426294272,99.4438006952491
"98","filtered20250425_PECOe-130_S353_R1_001",161735,161735,161735,161735,161690,161471,159708,159708,158470,98.7741975384996,100,99.2248353244672
"99","filtered20250425_PECOe-131_S97_R1_001",233894,233894,233894,233894,233829,233599,228091,227964,223150,97.5460699913184,99.9443204685849,97.8882630590795
"100","filtered20250425_PECOe-132_S98_R1_001",233826,233826,233826,233826,233777,233638,227823,227376,184946,97.4531284086972,99.8037950514215,81.3392794314264
"101","filtered20250425_PECOe-133_S99_R1_001",213499,213499,213499,213499,213436,213201,208327,208288,203965,97.6063082141719,99.9812794308947,97.924508373022
"102","filtered20250425_PECOe-134_S100_R1_001",242585,242585,242585,242585,242497,242334,235444,235438,228187,97.0915104104381,99.997451623316,96.920208292629
"103","filtered20250425_PECOe-136_S102_R1_001",222794,222794,222794,222794,222655,222355,218320,218162,201470,98.0530417012867,99.9276291681935,92.3488050164557
"104","filtered20250425_PECOe-137_S103_R1_001",180434,180434,180434,180434,180376,180054,176410,176407,172009,97.8012595910764,99.9982994161329,97.5069016535625
"105","filtered20250425_PECOe-138_S104_R1_001",251947,251947,251947,251947,251799,251687,245788,245724,245724,97.6127784463004,99.9739612999821,100
"106","filtered20250425_PECOe-139_S105_R1_001",244398,244398,244398,244398,244317,244058,238843,238465,230583,97.7594682318463,99.8417370406501,96.6946931415512
"107","filtered20250425_PECOe-141_S107_R1_001",222290,222290,222290,222290,222200,221932,218235,218052,212473,98.2155715571557,99.9161454395491,97.441435987746
"108","filtered20250425_PECOe-142_S108_R1_001",207127,207127,207127,207127,206925,206566,203901,203196,157661,98.5386009423704,99.654243971339,77.5906021772082
"109","filtered20250425_PECOe-143_S109_R1_001",186209,186209,186209,186209,186049,185789,182279,181344,155120,97.9736521024031,99.4870500715935,85.5390859361214
"110","filtered20250425_PECOe-144_S110_R1_001",208110,208110,208110,208110,207753,207274,204303,202082,167715,98.339374160662,98.9128891890966,82.993537276947
