"","sample_id","raw_f","raw_r","cutadapt_f","cutadapt_r","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"42","PECOe042_S38_L001_R1_001",83276,83276,83205,83205,71501,71501,71501,71501,71325,71158,69440,69381,66597,99.9147413420433,97.3571678934455,99.915034562212,95.9873740649457,79.971420337192
"43","PECOe043_S39_L001_R1_001",62733,62733,62692,62692,53927,53927,53927,53927,53844,53511,51913,51903,48773,99.9346436484785,96.4137136914048,99.9807370022923,93.9695200662775,77.7469593355969
"44","PECOe044_S40_L001_R1_001",66290,66290,66214,66214,56560,56560,56560,56560,56445,56066,54528,54528,46836,99.8853522401569,96.6037735849057,100,85.893485915493,70.6531905264746
"45","PECOe045_S41_L001_R1_001",74763,74763,74692,74692,62487,62487,62487,62487,62400,62107,60412,60313,55906,99.9050332383666,96.8141025641026,99.8361252731245,92.6931175700098,74.7776306461752
"46","PECOe046_S42_L001_R1_001",80792,80792,80727,80727,67872,67872,67872,67872,67720,67398,65580,65580,61498,99.9195464897515,96.8399291199055,100,93.7755413235743,76.1189226656105
"47","PECOe047_S43_L001_R1_001",74404,74404,74352,74352,62242,62242,62242,62242,62172,61916,59846,59800,56881,99.9301112843395,96.2587660039889,99.9231360491929,95.11872909699,76.4488468361916
"48","PECOe048_S44_L001_R1_001",85598,85598,85569,85569,71288,71288,71288,71288,71197,70843,70099,70065,66852,99.9661207037548,98.4578001882102,99.9514971682906,95.4142581888247,78.0999556064394
"49","PECOe049_S45_L001_R1_001",1713,1713,1711,1711,1175,1175,1175,1175,1156,1155,1155,1155,1155,99.8832457676591,99.9134948096886,100,100,67.4255691768827
"50","PECOe050_S46_L001_R1_001",73174,73174,73150,73150,60897,60897,60897,60897,60739,60531,58135,58135,56406,99.9672014650012,95.7128039645039,100,97.0258880192655,77.0847568808593
"51","PECOe051_S47_L001_R1_001",134,134,129,129,39,39,39,39,2,1,0,0,0,96.2686567164179,0,NA,NA,0
"52","PECOe052_S48_L001_R1_001",70550,70550,70478,70478,55994,55994,55994,55994,55946,55772,53833,53781,50193,99.8979447200567,96.2231437457548,99.9034049746438,93.3284989122553,71.1452870304748
"53","PECOe053_S49_L001_R1_001",79354,79354,79308,79308,63032,63032,63032,63032,62918,62664,61402,61402,48543,99.9420319076543,97.5905146381004,100,79.0576854174131,61.1727197116718
"54","PECOe054_S50_L001_R1_001",56287,56287,56255,56255,44171,44171,44171,44171,44051,43866,42294,42294,34427,99.94314850676,96.0114412839663,100,81.3992528491039,61.1633236804235
"55","PECOe055_S51_L001_R1_001",230,230,230,230,62,62,62,62,42,32,32,32,32,100,76.1904761904762,100,100,13.9130434782609
"56","PECOe056_S52_L001_R1_001",78281,78281,78229,78229,59332,59332,59332,59332,59232,59033,56341,56341,51363,99.9335726421482,95.1191923284711,100,91.1645160717772,65.6136227181564
"57","PECOe057_S53_L001_R1_001",63220,63220,63188,63188,51085,51085,51085,51085,50819,50819,48927,48927,44101,99.9493831066118,96.2769830181625,100,90.1363255462219,69.7579879784878
"58","PECOe058_S54_L001_R1_001",61972,61972,61944,61944,49265,49265,49265,49265,49196,49007,47987,47987,45454,99.954818305041,97.5424831287097,100,94.7214870694146,73.3460272381075
"59","PECOe059_S55_L001_R1_001",2741,2741,2739,2739,1912,1912,1912,1912,1860,1848,1844,1844,1535,99.9270339292229,99.1397849462366,100,83.2429501084599,56.0014593214155
