found_taxa,common_name,rank,motu,motu_swarm,asv,curated,lulu_rank,found_taxa_asv,common_name_asv,rank_asv,identity_percentage,evalue,kingdom,phylum,class,order,family,genus,freshwater_only
uncultured bacterium,Bacteria,outgroup,motu957,motu957,ASV1619,parent,965,uncultured bacterium,Bacteria,outgroup,99.419,2.69e-85,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu959,motu959,ASV1623,parent,969,uncultured bacterium,Bacteria,outgroup,97.628,5.5e-122,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu961,motu961,ASV1625,parent,972,uncultured bacterium,Bacteria,outgroup,98.024,1.18e-123,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu963,motu963,ASV1627,parent,971,uncultured bacterium,Bacteria,outgroup,96.825,1.55e-117,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu964,motu964,ASV1629,parent,974,uncultured bacterium,Bacteria,outgroup,98.419,2.54e-125,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu965,motu965,ASV1630,parent,975,uncultured bacterium,Bacteria,outgroup,98.047,2.5699999999999997e-125,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu966,motu966,ASV1631,parent,977,uncultured bacterium,Bacteria,outgroup,98.024,1.18e-123,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu972,motu972,ASV1639,parent,983,uncultured bacterium,Bacteria,outgroup,98.024,1.18e-123,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu978,motu978,ASV1647,parent,987,uncultured bacterium,Bacteria,outgroup,96.748,9.31e-115,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu982,motu982,ASV1652,parent,991,uncultured bacterium,Bacteria,outgroup,100,1.52e-127,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu992,motu992,ASV1664,parent,1001,uncultured bacterium,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu999,motu999,ASV1674,parent,1006,uncultured bacterium,Bacteria,outgroup,97.153,3.6499999999999997e-134,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1005,motu1005,ASV1681,parent,1013,uncultured bacterium,Bacteria,outgroup,99.587,3.2899999999999996e-124,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1009,motu1009,ASV1686,parent,1017,uncultured bacterium,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1012,motu1012,ASV1689,parent,1020,uncultured bacterium,Bacteria,outgroup,96.327,1.5499999999999997e-112,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1019,motu1019,ASV1700,parent,1027,uncultured bacterium,Bacteria,outgroup,98.438,5.53e-127,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1020,motu1020,ASV1701,parent,1028,uncultured bacterium,Bacteria,outgroup,99.184,3.2899999999999996e-124,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1022,motu1022,ASV1704,parent,1030,uncultured bacterium,Bacteria,outgroup,99.609,5.489999999999999e-132,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1023,motu1023,ASV1705,parent,830,uncultured bacterium,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1023,motu1023,ASV1840,parent,830,uncultured bacterium,Bacteria,outgroup,99.605,2.5199999999999995e-130,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1025,motu1025,ASV1707,parent,1032,uncultured bacterium,Bacteria,outgroup,97.959,3.309999999999999e-119,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1026,motu1026,ASV1709,parent,1033,uncultured bacterium,Bacteria,outgroup,96.094,5.61e-117,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1027,motu1027,ASV1710,parent,1034,uncultured bacterium,Bacteria,outgroup,100,5.4199999999999993e-132,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1031,motu1031,ASV1715,parent,1039,uncultured bacterium,Bacteria,outgroup,98.374,1.9899999999999997e-121,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1032,motu1032,ASV1716,parent,1040,uncultured bacterium,Bacteria,outgroup,96.875,2.59e-120,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1040,motu1040,ASV1727,parent,877,uncultured bacterium,Bacteria,outgroup,98.326,1.5400000000000001e-117,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1040,motu1040,ASV2102,parent,877,uncultured bacterium,Bacteria,outgroup,97.908,7.169999999999999e-116,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1058,motu1058,ASV1752,parent,1064,uncultured bacterium,Bacteria,outgroup,97.233,2.5599999999999998e-120,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1061,motu1061,ASV1757,parent,1067,uncultured bacterium,Bacteria,outgroup,96.047,2.58e-115,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1062,motu1062,ASV1758,parent,1068,uncultured bacterium,Bacteria,outgroup,96.838,1.19e-118,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1063,motu1063,ASV1760,parent,1069,uncultured bacterium,Bacteria,outgroup,99.592,7.07e-126,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1072,motu1072,ASV1773,parent,1077,uncultured bacterium,Bacteria,outgroup,96.708,4.31e-113,Bacteria,NA,NA,NA,NA,NA,NA
uncultured bacterium,Bacteria,outgroup,motu1073,motu1073,ASV1774,parent,1078,uncultured bacterium,Bacteria,outgroup,97.49,3.33e-114,Bacteria,NA,NA,NA,NA,NA,NA
