"","sample_id","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percent_retained_aftermerge","percent_notsingleton","percent_notchimera"
"67","filtered20250425_PECOe-1391_S51_R1_001",166,166,166,166,166,165,165,165,165,99.3975903614458,100,100
"68","filtered20250425_PECOe-1392_S52_R1_001",130936,130936,130936,130936,130646,130474,127033,126505,117435,97.2345115809133,99.5843599694568,92.8303229121379
"69","filtered20250425_PECOe-1393_S53_R1_001",166004,166004,166004,166004,165906,165710,164485,164104,162645,99.1434908924331,99.768367936286,99.1109296543655
"70","filtered20250425_PECOe-1394_S54_R1_001",184608,184608,184608,184608,184501,184314,182885,182465,178444,99.1241239884879,99.7703474861252,97.7962896993944
"71","filtered20250425_PECOe-1396_S56_R1_001",27,27,27,27,23,23,23,23,23,100,100,100
"72","filtered20250425_PECOe-1397_S57_R1_001",259522,259522,259522,259522,259172,258815,255273,253145,170005,98.4955936598089,99.1663826569986,67.1571628908333
"73","filtered20250425_PECOe-1398_S58_R1_001",442899,442899,442899,442899,442511,441916,436501,433417,339917,98.6418416717325,99.2934724089979,78.4272421247898
"74","filtered20250425_PECOe-1399_S59_R1_001",271424,271424,271424,271424,271244,270791,267406,265035,208413,98.5850378257215,99.1133332834716,78.6360292036901
"75","filtered20250425_PECOe-1400_S60_R1_001",245243,245243,245243,245243,245052,244693,241440,240141,190179,98.5260271289359,99.4619781312127,79.1947231001786
"76","filtered20250425_PECOe-1401_S61_R1_001",441381,441381,441381,441381,441339,440964,438194,438194,438194,99.2873958566997,100,100
"77","filtered20250425_PECOe-1402_S62_R1_001",249741,249741,249741,249741,249536,249178,244075,242720,217901,97.8115382149269,99.4448427737376,89.7746374423204
"78","filtered20250425_PECOe-1403_S63_R1_001",314861,314861,314861,314861,314342,314008,308632,307729,275214,98.1835071355403,99.7074185437673,89.4338850092127
"79","filtered20250425_PECOe-1404_S64_R1_001",248563,248563,248563,248563,248144,247862,243487,242422,217605,98.1232671352118,99.5626049850711,89.7628928067585
"80","filtered20250425_PECOe-1405_S65_R1_001",202538,202538,202538,202538,202269,201939,198854,198034,167148,98.3116542821688,99.5876371609321,84.4036882555521
"81","filtered20250425_PECOe-1406_S66_R1_001",13,13,13,13,12,12,12,12,12,100,100,100
"82","filtered20250425_PECOe-1407_S67_R1_001",201937,201937,201937,201937,201520,201074,197104,194403,145446,97.8086542278682,98.6296574397273,74.8167466551442
"83","filtered20250425_PECOe-1408_S68_R1_001",224117,224117,224117,224117,223632,223112,219634,216505,191496,98.2122415396723,98.5753571851353,88.4487656174222
"84","filtered20250425_PECOe-1409_S69_R1_001",225596,225596,225596,225596,225270,224770,220692,217938,169292,97.967772006925,98.752107008863,77.6789729189035
"85","filtered20250425_PECOe-1410_S70_R1_001",187611,187611,187611,187611,187156,186823,183728,181910,141498,98.1683729081622,99.0104937734042,77.7846187675224
"86","filtered20250425_PECOe-1412_S72_R1_001",130441,130441,130441,130441,130194,130072,128722,127915,117503,98.8693795412999,99.3730675409021,91.8602196771293
"87","filtered20250425_PECOe-1413_S73_R1_001",279202,279202,279202,279202,278955,278484,274075,272051,226888,98.250613898299,99.2615160083919,83.3990685569985
"88","filtered20250425_PECOe-1414_S74_R1_001",128464,128464,128464,128464,128424,128319,127534,127360,127144,99.3069831184202,99.8635657942196,99.8304020100502
"89","filtered20250425_PECOe-1415_S75_R1_001",481576,481576,481576,481576,481338,480820,473552,471684,446293,98.3824256551529,99.6055343446971,94.6169469390524
"90","filtered20250425_PECOe-1416_S76_R1_001",229537,229537,229537,229537,229444,228089,225745,224953,224526,98.3878419134952,99.6491616647102,99.8101825714705
"91","filtered20250425_PECOe-1417_S77_R1_001",123106,123106,123106,123106,122988,122848,120809,120227,116525,98.2282824340586,99.518247812663,96.9208247731375
"92","filtered20250425_PECOe-1418_S78_R1_001",170402,170402,170402,170402,170110,169801,167019,164793,156783,98.1829404502969,98.6672175022003,95.1393566474304
"93","filtered20250425_PECOe-1419_S79_R1_001",131170,131170,131170,131170,130952,130852,127545,126863,121739,97.3982833404606,99.4652867615351,95.960997296296
"94","filtered20250425_PECOe-1422_S82_R1_001",5510,5510,5510,5510,5508,5490,5476,5476,5476,99.4190268700073,100,100
"95","filtered20250425_PECOe-1423_S83_R1_001",153746,153746,153746,153746,153649,153517,150328,149786,148812,97.83858014045,99.6394550582726,99.3497389609176
"96","filtered20250425_PECOe-1424_S84_R1_001",176464,176464,176464,176464,176219,175968,172455,171907,161392,97.8640214732804,99.682235945609,93.8833206326677
"97","filtered20250425_PECOe-1425_S85_R1_001",238579,238579,238579,238579,238540,238317,233608,233608,233371,97.9324222352645,100,99.8985479949317
"98","filtered20250425_PECOe-1427_S87_R1_001",756678,756678,756678,756678,756464,755566,737567,736584,707258,97.5019300323611,99.8667239721951,96.0186482465001
"99","filtered20250425_PECOe-1428_S88_R1_001",167705,167705,167705,167705,167513,167383,163664,163276,160599,97.7022678836866,99.7629289275589,98.3604448908596
"100","filtered20250425_PECOe-1429_S89_R1_001",235264,235264,235264,235264,235122,234802,230704,229979,217540,98.1209754935736,99.6857445037797,94.5912452876132
