Lane,SampleID,Index,# Reads,# Perfect Index Reads,# One Mismatch Index Reads,# Two Mismatch Index Reads,% Reads,% Perfect Index Reads,% One Mismatch Index Reads,% Two Mismatch Index Reads
1,0242,ELIDED,172679,166890,5789,0,0.0012,0.9665,0.0335,0.0000
1,0243,ELIDED,281697,262896,18801,0,0.0020,0.9333,0.0667,0.0000
1,0244,ELIDED,277078,222500,54578,0,0.0019,0.8030,0.1970,0.0000
1,0245,ELIDED,398922,385811,13111,0,0.0028,0.9671,0.0329,0.0000
1,0246,ELIDED,27,13,14,0,0.0000,0.4815,0.5185,0.0000
1,0247,ELIDED,39476,37661,1815,0,0.0003,0.9540,0.0460,0.0000
1,0248,ELIDED,124292,119704,4588,0,0.0009,0.9631,0.0369,0.0000
1,0249,ELIDED,108910,104388,4522,0,0.0008,0.9585,0.0415,0.0000
1,0250,ELIDED,145803,140234,5569,0,0.0010,0.9618,0.0382,0.0000
1,0251,ELIDED,186128,175879,10249,0,0.0013,0.9449,0.0551,0.0000
1,0252,ELIDED,2442,2373,69,0,0.0000,0.9717,0.0283,0.0000
1,0253,ELIDED,243683,232686,10997,0,0.0017,0.9549,0.0451,0.0000
1,0254,ELIDED,210675,204869,5806,0,0.0015,0.9724,0.0276,0.0000
1,0255,ELIDED,245152,236630,8522,0,0.0017,0.9652,0.0348,0.0000
1,0256,ELIDED,270500,261151,9349,0,0.0019,0.9654,0.0346,0.0000
1,0257,ELIDED,277837,265569,12268,0,0.0019,0.9558,0.0442,0.0000
1,0258,ELIDED,199473,186283,13190,0,0.0014,0.9339,0.0661,0.0000
1,0259,ELIDED,222485,200814,21671,0,0.0016,0.9026,0.0974,0.0000
1,0260,ELIDED,149725,143303,6422,0,0.0010,0.9571,0.0429,0.0000
1,0261,ELIDED,225506,211426,14080,0,0.0016,0.9376,0.0624,0.0000
1,0262,ELIDED,339780,291451,48329,0,0.0024,0.8578,0.1422,0.0000
1,0263,ELIDED,308917,297248,11669,0,0.0022,0.9622,0.0378,0.0000
1,0264,ELIDED,257755,247427,10328,0,0.0018,0.9599,0.0401,0.0000
1,0265,ELIDED,348997,315101,33896,0,0.0024,0.9029,0.0971,0.0000
1,0266,ELIDED,1656,1354,302,0,0.0000,0.8176,0.1824,0.0000
1,0267,ELIDED,78,71,7,0,0.0000,0.9103,0.0897,0.0000
1,0268,ELIDED,174831,165841,8990,0,0.0012,0.9486,0.0514,0.0000
1,0269,ELIDED,242084,232638,9446,0,0.0017,0.9610,0.0390,0.0000
1,0270,ELIDED,236411,225383,11028,0,0.0017,0.9534,0.0466,0.0000
1,0271,ELIDED,2,0,2,0,0.0000,0.0000,1.0000,0.0000
1,0272,ELIDED,226643,218781,7862,0,0.0016,0.9653,0.0347,0.0000
1,0273,ELIDED,10895,10482,413,0,0.0001,0.9621,0.0379,0.0000
1,0274,ELIDED,200646,190808,9838,0,0.0014,0.9510,0.0490,0.0000
1,0275,ELIDED,150163,145975,4188,0,0.0011,0.9721,0.0279,0.0000
1,0276,ELIDED,207999,189462,18537,0,0.0015,0.9109,0.0891,0.0000
1,0277,ELIDED,201327,194051,7276,0,0.0014,0.9639,0.0361,0.0000
1,0278,ELIDED,53,50,3,0,0.0000,0.9434,0.0566,0.0000
1,0279,ELIDED,211936,204454,7482,0,0.0015,0.9647,0.0353,0.0000
1,0280,ELIDED,235338,226724,8614,0,0.0016,0.9634,0.0366,0.0000
1,0281,ELIDED,273341,222276,51065,0,0.0019,0.8132,0.1868,0.0000
1,0282,ELIDED,231494,212775,18719,0,0.0016,0.9191,0.0809,0.0000
1,0283,ELIDED,194784,168618,26166,0,0.0014,0.8657,0.1343,0.0000
1,0284,ELIDED,276933,264158,12775,0,0.0019,0.9539,0.0461,0.0000
1,0285,ELIDED,222473,214283,8190,0,0.0016,0.9632,0.0368,0.0000
1,0286,ELIDED,264457,250815,13642,0,0.0019,0.9484,0.0516,0.0000
1,0287,ELIDED,319991,303979,16012,0,0.0022,0.9500,0.0500,0.0000
1,0288,ELIDED,0,0,0,0,0.0000,0.0000,0.0000,0.0000
1,0289,ELIDED,299549,269202,30347,0,0.0021,0.8987,0.1013,0.0000
1,0290,ELIDED,307715,293803,13912,0,0.0022,0.9548,0.0452,0.0000
1,0291,ELIDED,371437,352941,18496,0,0.0026,0.9502,0.0498,0.0000
1,0292,ELIDED,315799,215296,100503,0,0.0022,0.6818,0.3182,0.0000
