"","input_dada2","after_filter_and_trim","raw_f","raw_r","cutadapt_f","cutadapt_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percentraw_retainedby_cutadapt","percenttrimmed_into_dada2","percentinput_retainedby_dada2_filterandtrim","percent_retainedby_dada2_denoising","percent_retained_aftermerge","percent_notsingleton","percent_notchimera","percent_retained_of_raw"
"edna0027-Rep1_S21_L001_R1_001.fastq.gz",6603,2937,6604,6604,6603,6603,2893,2900,2879,2879,2374,99.984857662023,99.984857662023,44.4797819173103,98.501872659176,99.5160732803318,100,82.459187217784,35.9479103573592
"edna0027-Rep2_S177_L001_R1_001.fastq.gz",35493,19992,35496,35496,35493,35493,19987,19975,18727,18727,17917,99.9915483434753,99.9915483434753,56.3265996111909,99.9749899959984,93.6959023365187,100,95.6746942916644,50.4761099842236
"edna0027-Rep3_S333_L001_R1_001.fastq.gz",37798,21927,37800,37800,37798,37798,21866,21894,19110,19110,19110,99.994708994709,99.994708994709,58.0110058733266,99.7218041683769,87.3959571938169,100,100,50.5555555555556
"edna0028-Rep1_S22_L001_R1_001.fastq.gz",74509,47155,74545,74545,74509,74509,47003,47028,44278,44251,41111,99.9517070226038,99.9517070226038,63.2876565247151,99.6776587848585,94.2024977129119,99.9390216360269,92.9041151612393,55.1492387148702
"edna0028-Rep2_S178_L001_R1_001.fastq.gz",71095,42743,71110,71110,71095,71095,42626,42641,40219,40219,38262,99.978905920405,99.978905920405,60.1209649061115,99.7262709683457,94.3532116548585,100,95.1341405803227,53.8067782309099
"edna0028-Rep3_S334_L001_R1_001.fastq.gz",33026,20049,33027,33027,33026,33026,19972,20013,18335,18335,18335,99.9969721742817,99.9969721742817,60.7067159207897,99.6159409446855,91.8035249349089,100,100,55.5151845459775
"edna0029-Rep1_S23_L001_R1_001.fastq.gz",24939,14702,25033,25033,24939,24939,14692,14646,13349,13349,11319,99.6244956657212,99.6244956657212,58.9518424956895,99.9319820432594,90.8589708684999,100,84.7928683796539,45.2163144649063
"edna0029-Rep2_S179_L001_R1_001.fastq.gz",35335,20335,35359,35359,35335,35335,20326,20306,17680,17680,15719,99.9321247772844,99.9321247772844,57.5491722088581,99.9557413326776,86.9821902981403,100,88.908371040724,44.4554427444215
"edna0029-Rep3_S335_L001_R1_001.fastq.gz",36323,21469,36325,36325,36323,36323,21460,21435,20349,20349,18275,99.9944941500344,99.9944941500344,59.1058007323184,99.9580790907821,94.8229263746505,100,89.8078529657477,50.3097040605643
"edna0030-Rep1_S24_L001_R1_001.fastq.gz",35767,20484,35861,35861,35767,35767,20472,20459,18247,18247,17537,99.737876802097,99.737876802097,57.2706684933039,99.941417691857,89.13149667839,100,96.1089494163424,48.9027076768634
"edna0030-Rep2_S180_L001_R1_001.fastq.gz",34860,20371,34863,34863,34860,34860,20184,20352,18718,18718,18718,99.9913948885638,99.9913948885638,58.4366035570855,99.0820283736685,92.7368212445501,100,100,53.6901586208875
"edna0030-Rep3_S336_L001_R1_001.fastq.gz",30192,16284,30319,30319,30192,30192,16276,16265,14959,14959,14542,99.5811207493651,99.5811207493651,53.9348171701113,99.9508720216163,91.9083312853281,100,97.2123805067184,47.9633233286058
"edna0031-Rep1_S25_L001_R1_001.fastq.gz",42247,26671,42303,42303,42247,42247,26556,26638,24933,24933,22827,99.8676216816774,99.8676216816774,63.1311099012948,99.5688200667391,93.8883868052418,100,91.5533630128745,53.9607120062407
"edna0031-Rep2_S181_L001_R1_001.fastq.gz",30533,19735,30536,30536,30533,30533,19717,19708,19108,19108,17328,99.9901755305214,99.9901755305214,64.6349850980906,99.9087914872055,96.9112948217274,100,90.6845300397739,56.7461357086717
"edna0031-Rep3_S337_L001_R1_001.fastq.gz",51991,33781,52011,52011,51991,51991,33704,33698,32250,32250,31483,99.9615465959124,99.9615465959124,64.9747071608548,99.7720612178444,95.685971991455,100,97.6217054263566,60.5314260444906
"edna0032-Rep1_S26_L001_R1_001.fastq.gz",32127,21209,32274,32274,32127,32127,21145,21158,20351,20351,18225,99.5445250046477,99.5445250046477,66.0161235098204,99.6982413126503,96.2449751714353,100,89.5533389022652,56.4696040156163
"edna0032-Rep2_S182_L001_R1_001.fastq.gz",80724,54738,80726,80726,80724,80724,54706,54618,53677,53639,50962,99.9975224834626,99.9975224834626,67.8088300877063,99.9415396981987,98.1190363031477,99.9292061776925,95.009228359962,63.1295988900726
"edna0032-Rep3_S338_L001_R1_001.fastq.gz",25166,16511,25557,25557,25166,25166,16492,16490,16195,16195,15249,98.4700864733732,98.4700864733732,65.6083604863705,99.8849252013809,98.1991268493815,100,94.1586909539981,59.6666275384435
"edna0033-Rep1_S27_L001_R1_001.fastq.gz",34627,22701,34660,34660,34627,34627,22679,22681,21854,21854,21362,99.9047893825736,99.9047893825736,65.5586680913738,99.903087969693,96.3622734688478,100,97.7486958909124,61.6330063473745
"edna0033-Rep2_S183_L001_R1_001.fastq.gz",24917,16212,24919,24919,24917,24917,16174,16143,14840,14840,14819,99.9919739957462,99.9919739957462,65.0640125215716,99.765605724155,91.7521948806727,100,99.8584905660377,59.4686785183996
