"","sample_id","filtertrim_f","filtertrim_r","dereplicated_f","dereplicated_r","denoised_f","denoised_r","merged","nosingletons","nochimeras","percent_retained_aftermerge","percent_notsingleton","percent_notchimera"
"101","pecoe-1158_S104_R1_001",734005,734005,734005,734005,733821,733607,729984,729513,729049,99.4771204421787,99.9354780378748,99.9363959244044
"102","pecoe-1159_S105_R1_001",7453,7453,7453,7453,7444,7410,7388,7373,7373,99.247716281569,99.7969680563075,100
"103","pecoe-1180_S106_R1_001",6483,6483,6483,6483,6441,6400,6366,6341,6180,98.8355845365626,99.6072887213321,97.4609683015297
"104","pecoe-1225_S107_R1_001",1042139,1042139,1042139,1042139,1041729,1040912,1036362,1034448,1032220,99.484798829638,99.8153154978666,99.7846194298795
"105","pecoe-1257_S108_R1_001",822053,822053,822053,822053,821824,821280,818507,817774,808742,99.5963856008099,99.9104467035713,98.8955383761284
"106","pecoe-1369_S109_R1_001",10890,10890,10890,10890,10857,10825,10648,10630,10630,98.0749746707194,99.8309541697972,100
"107","pecoe-1370_S110_R1_001",585797,585797,585797,585797,585623,585260,583014,581407,576339,99.5544915414866,99.724363394361,99.1283214684378
"108","pecoe-1395_S111_R1_001",337562,337562,337562,337562,337269,337150,334905,332390,330318,99.299075811889,99.2490407727565,99.3766358795391
"109","pecoe-1420_S112_R1_001",429444,429444,429444,429444,428844,428475,425989,413680,397773,99.3342567460429,97.1104887684893,96.1547573003288
"110","pecoe-1477_S113_R1_001",5185,5185,5185,5185,5158,5152,5080,5075,5075,98.4877859635518,99.9015748031496,100
"111","pecoe-1480_S114_R1_001",12170,12170,12170,12170,12135,12054,9490,9479,9155,78.2035434693037,99.8840885142255,96.5819179238316
"112","pecoe-1482_S115_R1_001",12007,12007,12007,12007,11982,11918,11356,11307,10627,94.7754965782006,99.568510038746,93.9860263553551
"113","pecoe-1485_S116_R1_001",1030645,1030645,1030645,1030645,1030424,1030002,1026525,1025757,1023925,99.6216120742529,99.9251844816249,99.8214001951729
"114","pecoe-1672_S117_R1_001",1064257,1064257,1064257,1064257,1064038,1063661,1058153,1057745,1057745,99.4469182491603,99.9614422488997,100
"115","pecoe-PCRblank1_Redos_2022-2024_S96_R1_001",10,10,10,10,8,6,6,6,6,75,100,100
