SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
50	1105	4139	3913
51	1105	5435	5205
52	1105	4808	4565
53	1105	5482	5237
54	1105	4098	3860
55	1105	5768	5473
56	1105	4916	4707
57	1105	4796	4540
58	1105	4169	3928
59	1105	11912	11390
60	1105	5212	4947
61	1105	4710	4495
62	1105	4329	4136
63	1105	4638	4405
64	1105	4050	3840
65	1105	4855	4609
66	1105	4680	4456
67	1105	4292	4107
68	1105	6273	5974
69	1105	5223	4980
70	1105	6487	6149
71	1105	5333	5077
72	1105	5016	4822
73	1105	4596	4383
74	1105	5787	5473
75	1105	5104	4898
76	1105	2150	2060
77	1105	6382	6122
78	1105	7902	7519
79	1105	5856	5597
80	1105	3881	3692
81	1105	5079	4849
82	1105	7128	6775
83	1105	5753	5514
84	1105	5033	4766
85	1105	6272	5997
86	1105	5872	5540
87	1105	5957	5648
88	1105	4975	4681
89	1105	4724	4497
90	1105	5471	5182
91	1105	4589	4385
92	1105	5424	5146
93	1105	5444	5202
94	1105	5356	5096
95	1105	6498	6192
96	1105	4844	4596
97	1105	8401	7991
98	1105	6009	5701
99	1105	6532	6192
100	1105	6120	5823
101	1105	5447	5217
102	1105	4985	4751
103	1105	5289	5070
104	1105	4176	3994
105	1105	4668	4488
106	1105	6532	6178
107	1105	6202	5898
108	1105	9643	9197
109	1105	135	84
110	1105	9402	8946
111	1105	6635	6371
112	1105	4764	4538
113	1105	6411	6089
114	1105	6810	6454
115	1105	5770	5479
116	1105	5036	4755
117	1105	6879	6585
118	1105	5551	5234
119	1105	3702	3570
120	1105	3991	3837
121	1105	5262	5037
122	1105	3919	3750
123	1105	4385	4166
124	1105	4439	4277
125	1105	6821	6127
126	1105	4872	4621
127	1105	69	58
128	1105	401	315
129	1105	46	37
130	1105	12	9
131	1105	110	77
132	1105	138	77
133	1105	16	15
134	1105	33	30
0	1106	88827	61403
1	1106	4648	4409
2	1106	2500	2352
3	1106	4201	4024
4	1106	6313	5984
5	1106	4479	4261
6	1106	3721	3526
7	1106	6514	6183
8	1106	2670	2535
9	1106	6520	6219
10	1106	6046	5719
11	1106	3519	3362
12	1106	5512	5209
13	1106	4716	4513
14	1106	6278	5971
15	1106	5730	5486
16	1106	5112	4894
17	1106	7431	7087
18	1106	5346	5109
19	1106	5637	5426
20	1106	5661	5400
21	1106	5025	4785
22	1106	5107	4853
23	1106	4388	4179
24	1106	4688	4515
25	1106	4884	4656
26	1106	5256	4992
27	1106	5216	4951
28	1106	6982	6629
29	1106	5732	5405
30	1106	6083	5772
31	1106	5140	4902
32	1106	5400	5131
33	1106	5188	4957
34	1106	5394	5153
35	1106	5442	5200
36	1106	6134	5879
37	1106	5860	5578
38	1106	4516	4307
39	1106	5697	5405
40	1106	5260	4679
41	1106	5161	4937
42	1106	4118	3900
43	1106	4015	3835
44	1106	68	59
45	1106	5936	5672
46	1106	4998	4717
47	1106	5130	4878
48	1106	4680	4483
49	1106	4805	4556
50	1106	3992	3758
51	1106	5477	5205
52	1106	4811	4587
53	1106	5466	5222
54	1106	4133	3884
55	1106	5559	5285
56	1106	4766	4525
57	1106	4793	4571
58	1106	4215	3982
59	1106	11843	11307
60	1106	5294	5042
61	1106	4664	4450
62	1106	4447	4226
63	1106	5046	4799
64	1106	4170	3972
65	1106	4954	4716
66	1106	4857	4603
67	1106	4654	4425
68	1106	6367	6054
69	1106	5149	4928
70	1106	6515	6173
71	1106	5617	5312
72	1106	5074	4855
73	1106	4420	4215
74	1106	6026	5703
75	1106	5246	5003
76	1106	2094	1991
77	1106	6329	6015
78	1106	8049	7639
79	1106	6097	5806
80	1106	3880	3687
81	1106	4892	4650
82	1106	7226	6877
83	1106	6016	5761
84	1106	4929	4684
85	1106	6352	6081
86	1106	6089	5752
87	1106	5755	5490
