SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
96	1109	978	941
0	1110	132361	113905
1	1110	4613	4517
2	1110	4989	4871
3	1110	5256	5135
4	1110	4148	4056
5	1110	4535	4421
6	1110	3093	3004
7	1110	4138	4033
8	1110	1797	1605
9	1110	4782	4668
10	1110	5106	4990
11	1110	4467	4371
12	1110	4262	4160
13	1110	4077	3982
14	1110	4451	4336
15	1110	4453	4348
16	1110	4056	3948
17	1110	4832	4725
18	1110	6645	6499
19	1110	4154	4061
20	1110	6498	6365
21	1110	5729	5585
22	1110	5812	5666
23	1110	4430	4326
24	1110	3423	3334
25	1110	5018	4899
26	1110	4707	4594
27	1110	4336	4223
28	1110	5259	5125
29	1110	3581	3435
30	1110	6285	6127
31	1110	5591	5465
32	1110	4810	4669
33	1110	5363	5243
34	1110	6627	6478
35	1110	5015	4871
36	1110	5330	5213
37	1110	6216	6082
38	1110	5145	5028
39	1110	4634	4537
40	1110	4061	3911
41	1110	3592	3491
42	1110	4166	4064
43	1110	4306	4226
44	1110	4447	4329
45	1110	4783	4688
46	1110	4256	4126
47	1110	4268	4170
48	1110	3658	3553
49	1110	4371	4254
50	1110	5223	5035
51	1110	4590	4485
52	1110	5464	5317
53	1110	4457	4363
54	1110	5110	4991
55	1110	4591	4498
56	1110	3930	3781
57	1110	3245	3159
58	1110	3489	3388
59	1110	3362	3287
60	1110	3183	3095
61	1110	3897	3812
62	1110	3881	3771
63	1110	3613	3528
64	1110	3772	3665
65	1110	3701	3568
66	1110	4887	4783
67	1110	2190	2053
68	1110	4884	4742
69	1110	4941	4817
70	1110	3822	3681
71	1110	4347	4242
72	1110	4010	3872
73	1110	3664	3525
74	1110	4030	3915
75	1110	4372	4295
76	1110	4127	4020
77	1110	4120	3999
78	1110	4214	4121
79	1110	3842	3761
80	1110	2632	2532
81	1110	3696	3584
82	1110	3681	3560
83	1110	3945	3841
84	1110	3060	2910
85	1110	4449	4344
86	1110	4907	4780
87	1110	4896	4786
88	1110	4177	4015
89	1110	4040	3925
90	1110	3840	3724
91	1110	4159	4061
92	1110	3257	3170
93	1110	3487	3403
94	1110	2879	2801
95	1110	3961	3851
96	1110	988	952
0	1111	131885	113223
1	1111	4797	4674
2	1111	5083	4944
3	1111	5397	5285
4	1111	4251	4128
5	1111	4643	4530
6	1111	2962	2867
7	1111	4059	3945
8	1111	1912	1723
9	1111	4853	4741
10	1111	5119	5003
11	1111	4686	4594
12	1111	4281	4173
13	1111	4161	4078
14	1111	4438	4314
15	1111	4351	4246
16	1111	3851	3737
17	1111	4680	4586
18	1111	6761	6603
19	1111	4007	3924
20	1111	6371	6202
21	1111	5684	5575
22	1111	5762	5619
23	1111	4347	4245
24	1111	3495	3385
25	1111	4964	4849
26	1111	4754	4624
27	1111	4307	4190
28	1111	5225	5086
29	1111	3383	3244
30	1111	6257	6083
31	1111	5676	5556
32	1111	4936	4805
33	1111	5576	5442
34	1111	6726	6561
35	1111	5036	4922
36	1111	5461	5329
37	1111	6444	6316
38	1111	5166	5024
39	1111	4691	4572
40	1111	4124	3974
41	1111	3483	3371
42	1111	4138	4050
43	1111	4333	4242
44	1111	4607	4482
45	1111	4802	4696
46	1111	4296	4182
47	1111	4211	4120
48	1111	3629	3510
49	1111	4368	4242
50	1111	5412	5156
51	1111	4645	4525
52	1111	5435	5291
53	1111	4713	4597
54	1111	4969	4841
55	1111	4731	4626
56	1111	3859	3732
57	1111	3335	3230
58	1111	3617	3520
59	1111	3456	3384
60	1111	3102	3009
61	1111	3888	3792
62	1111	3763	3679
63	1111	3602	3505
64	1111	3747	3649
65	1111	3774	3650
66	1111	5020	4905
67	1111	2247	2055
68	1111	4839	4714
69	1111	5184	5073
70	1111	3833	3669
71	1111	4444	4334
72	1111	3907	3778
73	1111	3520	3403
74	1111	4209	4097
75	1111	4344	4258
76	1111	4086	3988
77	1111	4150	4062
