SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
106	1106	3	3
107	1106	2498	2486
108	1106	2031	2018
109	1106	1849	1833
110	1106	2190	2166
111	1106	5	5
112	1106	1339	1329
113	1106	2910	2891
114	1106	3413	3385
115	1106	1	1
116	1106	2187	2167
117	1106	1855	1841
118	1106	1271	1258
119	1106	2221	2205
120	1106	136	130
121	1106	4163	4126
122	1106	4151	4115
123	1106	3570	3537
124	1106	3620	3589
125	1106	4	4
126	1106	2947	2926
127	1106	1519	1512
128	1106	3701	3676
129	1106	2796	2772
130	1106	66	60
131	1106	1552	1541
132	1106	2969	2947
133	1106	2	2
134	1106	2742	2728
135	1106	3	3
136	1106	2592	2568
138	1106	3029	3007
139	1106	1096	1090
141	1106	2926	2907
142	1106	2363	2354
143	1106	7	6
144	1106	3	3
145	1106	1889	1877
146	1106	2753	2726
147	1106	2324	2312
148	1106	3	3
149	1106	2738	2722
150	1106	1707	1698
151	1106	1844	1831
152	1106	1570	1563
153	1106	2138	2113
155	1106	2	2
156	1106	1957	1939
157	1106	4	4
158	1106	4	4
159	1106	2581	2568
160	1106	2201	2185
161	1106	2134	2120
162	1106	3	3
163	1106	2176	2155
164	1106	2938	2911
165	1106	2	2
166	1106	1290	1285
167	1106	3233	3209
168	1106	1604	1590
169	1106	4594	4551
170	1106	62	62
171	1106	4442	4399
172	1106	3095	3072
173	1106	4050	4019
174	1106	3723	3703
175	1106	3818	3802
176	1106	4203	4169
177	1106	1	1
178	1106	8	6
179	1106	1	1
181	1106	1	1
182	1106	2406	2383
183	1106	1761	1746
184	1106	1	1
0	1107	91891	80739
1	1107	11965	11822
2	1107	352	325
3	1107	826	786
4	1107	2294	2260
5	1107	2620	2589
6	1107	2005	1971
7	1107	28	26
8	1107	7305	7207
9	1107	6659	6602
10	1107	3940	3889
11	1107	3072	3020
12	1107	554	543
13	1107	4463	4424
14	1107	3369	3339
15	1107	4176	4133
16	1107	6765	6678
17	1107	24	22
18	1107	4504	4451
19	1107	3916	3879
20	1107	4231	4190
21	1107	4410	4375
22	1107	18	16
23	1107	3299	3263
24	1107	5087	5026
25	1107	388	385
26	1107	15	14
27	1107	1	1
28	1107	1	0
29	1107	47	47
30	1107	3625	3587
31	1107	1	1
32	1107	8643	8548
33	1107	2195	2176
34	1107	2979	2948
35	1107	65	62
36	1107	5278	5217
37	1107	3	3
38	1107	25	22
39	1107	3759	3733
40	1107	8346	8249
41	1107	983	977
42	1107	8462	8385
43	1107	1602	1589
44	1107	3	2
45	1107	2	2
46	1107	4447	4395
47	1107	7	7
48	1107	40	36
49	1107	2191	2166
50	1107	6732	6653
51	1107	3	3
52	1107	2809	2774
53	1107	5	5
54	1107	3415	3383
55	1107	2651	2629
56	1107	38	34
57	1107	2095	2070
58	1107	12	10
59	1107	1186	1173
60	1107	3534	3508
61	1107	3195	3162
62	1107	1731	1715
63	1107	2323	2288
64	1107	34	26
65	1107	2147	2106
66	1107	3181	3134
67	1107	2876	2834
68	1107	2942	2918
69	1107	9	7
70	1107	5174	5124
71	1107	4029	3993
72	1107	3527	3491
73	1107	18	17
74	1107	6	6
75	1107	9214	9140
76	1107	4	4
77	1107	2	2
78	1107	6452	6380
79	1107	8	7
80	1107	620	613
81	1107	9409	9309
82	1107	6826	6754
83	1107	7056	6988
84	1107	30	30
85	1107	11517	11422
86	1107	8678	8591
87	1107	6	5
88	1107	2831	2804
89	1107	3	3
90	1107	3	3
93	1107	1	1
94	1107	3	3
95	1107	2	2
96	1107	2426	2401
97	1107	132	125
98	1107	5	5
99	1107	4	4
100	1107	2361	2347
101	1107	2	0
102	1107	2771	2753
103	1107	1170	1156
104	1107	1394	1380
105	1107	2601	2576
106	1107	3	3
107	1107	2592	2561
108	1107	2099	2081
109	1107	1922	1909
110	1107	2247	2229
