accepted_name,verbatim_name,taxonomic_status,species,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,taxon_id,ncbi_id
Icelinus burchami,Icelinus burchami,accepted,Icelinus burchami,species,Teleostei,Perciformes,Cottidae,Icelinus,TRUE,FALSE,FALSE,281134,305506
Careproctus gilberti,Careproctus gilberti,accepted,Careproctus gilberti,species,Teleostei,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,367288,NA
Allosmerus elongatus,Allosmerus elongatus,accepted,Allosmerus elongatus,species,Teleostei,Osmeriformes,Osmeridae,Allosmerus,TRUE,FALSE,FALSE,279564,433393
Mallotus villosus,Mallotus villosus,accepted,Mallotus villosus,species,Teleostei,Osmeriformes,Osmeridae,Mallotus,TRUE,TRUE,TRUE,126735,30960
Lycenchelys crotalinus,Lycenchelys crotalinus,accepted,Lycenchelys crotalinus,species,Teleostei,Perciformes,Zoarcidae,Lycenchelys,TRUE,FALSE,FALSE,254592,320591
Catostomus catostomus,Catostomus catostomus,accepted,Catostomus catostomus,species,Teleostei,Cypriniformes,Catostomidae,Catostomus,FALSE,TRUE,TRUE,158706,43956
Cottus cognatus,Cottus cognatus,accepted,Cottus cognatus,species,Teleostei,Perciformes,Cottidae,Cottus,FALSE,TRUE,TRUE,159512,147210
Xiphister mucosus,Xiphister mucosus,accepted,Xiphister mucosus,species,Teleostei,Perciformes,Stichaeidae,Xiphister,TRUE,FALSE,FALSE,283195,283031
Arctozenus risso,Arctozenus risso,accepted,Arctozenus risso,species,Teleostei,Aulopiformes,Paralepididae,Arctozenus,TRUE,FALSE,FALSE,126352,473348
Clinocottus acuticeps,Clinocottus acuticeps,accepted,Clinocottus acuticeps,species,Teleostei,Perciformes,Cottidae,Clinocottus,TRUE,TRUE,TRUE,280218,459045
Liparis fucensis,Liparis fucensis,accepted,Liparis fucensis,species,Teleostei,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,274515,433401
Lestidiops ringens,Lestidiops ringens,accepted,Lestidiops ringens,species,Teleostei,Aulopiformes,Paralepididae,Lestidiops,TRUE,FALSE,FALSE,272096,319759
Cottus aleuticus,Cottus aleuticus,accepted,Cottus aleuticus,species,Teleostei,Perciformes,Cottidae,Cottus,TRUE,TRUE,TRUE,274366,214914
Galeorhinus galeus,Galeorhinus galeus,accepted,Galeorhinus galeus,species,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,TRUE,FALSE,FALSE,105820,86063
Bathyraja abyssicola,Bathyraja abyssicola,accepted,Bathyraja abyssicola,species,Elasmobranchii,Rajiformes,Arhynchobatidae,Bathyraja,TRUE,FALSE,FALSE,271503,341242
Somniosus pacificus,Somniosus pacificus,accepted,Somniosus pacificus,species,Elasmobranchii,Squaliformes,Somniosidae,Somniosus,TRUE,FALSE,FALSE,271654,305516
Lampanyctus ritteri,Lampanyctus ritteri,accepted,Lampanyctus ritteri,species,Teleostei,Myctophiformes,Myctophidae,Lampanyctus,TRUE,FALSE,FALSE,301548,319541
Careproctus cypselurus,Careproctus cypselurus,accepted,Careproctus cypselurus,species,Teleostei,Perciformes,Liparidae,Careproctus,TRUE,FALSE,FALSE,274421,433400
Anoplagonus inermis,Anoplagonus inermis,accepted,Anoplagonus inermis,species,Teleostei,Perciformes,Agonidae,Anoplagonus,TRUE,FALSE,FALSE,279630,1154603
Ptilichthys goodei,Ptilichthys goodei,accepted,Ptilichthys goodei,species,Teleostei,Perciformes,Ptilichthyidae,Ptilichthys,TRUE,FALSE,FALSE,282508,641289
Chirolophis decoratus,Chirolophis decoratus,accepted,Chirolophis decoratus,species,Teleostei,Perciformes,Stichaeidae,Chirolophis,TRUE,FALSE,FALSE,254576,320615
Phytichthys chirus,Phytichthys chirus,accepted,Phytichthys chirus,species,Teleostei,Perciformes,Stichaeidae,Phytichthys,TRUE,FALSE,FALSE,282255,1738904
Sebastes diaconus,Sebastes diaconus,accepted,Sebastes diaconus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,1384909,2603974
Sebastes melanostomus,Sebastes melanostomus,accepted,Sebastes melanostomus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274819,72086
Cryptacanthodes giganteus,Cryptacanthodes giganteus,accepted,Cryptacanthodes giganteus,species,Teleostei,Perciformes,Cryptacanthodidae,Cryptacanthodes,TRUE,FALSE,FALSE,276392,433379
Pallasina barbata,Pallasina barbata,accepted,Pallasina barbata,species,Teleostei,Perciformes,Agonidae,Pallasina,TRUE,FALSE,FALSE,254396,740932
Paraliparis dactylosus,Paraliparis dactylosus,accepted,Paraliparis dactylosus,species,Teleostei,Perciformes,Liparidae,Paraliparis,TRUE,FALSE,FALSE,274568,557357
Bathymaster caeruleofasciatus,Bathymaster caeruleofasciatus,accepted,Bathymaster caeruleofasciatus,species,Teleostei,Perciformes,Bathymasteridae,Bathymaster,TRUE,FALSE,FALSE,279415,1188226
Porichthys notatus,Porichthys notatus,accepted,Porichthys notatus,species,Teleostei,Batrachoidiformes,Batrachoididae,Porichthys,TRUE,FALSE,FALSE,275658,45384
Icelus spiniger,Icelus spiniger,accepted,Icelus spiniger,species,Teleostei,Perciformes,Cottidae,Icelus,TRUE,FALSE,FALSE,254525,557345
Liparis florae,Liparis florae,accepted,Liparis florae,species,Teleostei,Perciformes,Liparidae,Liparis,TRUE,FALSE,FALSE,274513,320618
Sebastes auriculatus,Sebastes auriculatus,accepted,Sebastes auriculatus,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274773,72057
Caliraja stellulata,Caliraja stellulata,accepted,Caliraja stellulata,species,Elasmobranchii,Rajiformes,Rajidae,Caliraja,TRUE,FALSE,FALSE,1803740,NA
Coregonus nasus,Coregonus nasus,accepted,Coregonus nasus,species,Teleostei,Salmoniformes,Salmonidae,Coregonus,FALSE,TRUE,TRUE,274342,348707
Allocareproctus jordani,Allocareproctus jordani,accepted,Allocareproctus jordani,species,Teleostei,Perciformes,Liparidae,Allocareproctus,TRUE,FALSE,FALSE,279555,1696904
Lycodes beringi,Lycodes beringi,accepted,Lycodes beringi,species,Teleostei,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,398582,215428
