"","accession","found_taxa","rank","common_name","taxa_verbatim","ncbi_sp","worms_match","worms_aphiaid","status","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","hybrid","ncbi_taxonomy_2"
"62","MW630424","Abudefduf sordidus","species",NA,"Abudefduf sordidus","Abudefduf sordidus","Abudefduf sordidus",212888,"accepted","(Forsskål, 1775)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"63","MZ598431","Abudefduf sordidus","species",NA,"Abudefduf sordidus","Abudefduf sordidus","Abudefduf sordidus",212888,"accepted","(Forsskål, 1775)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"64","LC557081","Abudefduf sordidus","species",NA,"Abudefduf sordidus","Abudefduf sordidus","Abudefduf sordidus",212888,"accepted","(Forsskål, 1775)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"65","JQ707028","Abudefduf sparoides","species",NA,"Abudefduf sparoides","Abudefduf sparoides","Abudefduf sparoides",212862,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"66","MW630236","Abudefduf taurus","species",NA,"Abudefduf taurus","Abudefduf taurus","Abudefduf taurus",273701,"accepted","(Müller & Troschel, 1848)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"67","MW630237","Abudefduf troschelii","species",NA,"Abudefduf troschelii","Abudefduf troschelii","Abudefduf troschelii",273702,"accepted","(Gill, 1862)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"68","MW630427","Abudefduf troschelii","species",NA,"Abudefduf troschelii","Abudefduf troschelii","Abudefduf troschelii",273702,"accepted","(Gill, 1862)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"69","PV263200","Abudefduf troschelii","species",NA,"Abudefduf troschelii","Abudefduf troschelii","Abudefduf troschelii",273702,"accepted","(Gill, 1862)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"70","LC589595","Abudefduf vaigiensis","species",NA,"Abudefduf vaigiensis","Abudefduf vaigiensis","Abudefduf vaigiensis",212879,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"71","MW630238","Abudefduf vaigiensis","species",NA,"Abudefduf vaigiensis","Abudefduf vaigiensis","Abudefduf vaigiensis",212879,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"72","AP006016","Abudefduf vaigiensis","species",NA,"Abudefduf vaigiensis","Abudefduf vaigiensis","Abudefduf vaigiensis",212879,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"73","LC814866","Abudefduf vaigiensis","species",NA,"Abudefduf vaigiensis","Abudefduf vaigiensis","Abudefduf vaigiensis",212879,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"74","AF436880","Abudefduf vaigiensis","species",NA,"Abudefduf vaigiensis","Abudefduf vaigiensis","Abudefduf vaigiensis",212879,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"75","PQ566960","Abudefduf vaigiensis","species",NA,"Abudefduf vaigiensis","Abudefduf vaigiensis","Abudefduf vaigiensis",212879,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"76","PP492921","Abudefduf vaigiensis","species",NA,"Abudefduf vaigiensis","Abudefduf vaigiensis","Abudefduf vaigiensis",212879,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"77","MH248164","Abudefduf vaigiensis","species",NA,"Abudefduf vaigiensis","Abudefduf vaigiensis","Abudefduf vaigiensis",212879,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"78","LC421703","Abudefduf vaigiensis","species",NA,"Abudefduf vaigiensis","Abudefduf vaigiensis","Abudefduf vaigiensis",212879,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"79","MZ605499","Abudefduf vaigiensis","species",NA,"Abudefduf vaigiensis","Abudefduf vaigiensis","Abudefduf vaigiensis",212879,"accepted","(Quoy & Gaimard, 1825)","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"80","MW630239","Abudefduf whitleyi","species",NA,"Abudefduf whitleyi","Abudefduf whitleyi","Abudefduf whitleyi",273703,"accepted","Allen & Robertson, 1974","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"81","MW630429","Abudefduf whitleyi","species",NA,"Abudefduf whitleyi","Abudefduf whitleyi","Abudefduf whitleyi",273703,"accepted","Allen & Robertson, 1974","Eukaryota","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","0","0",NA,NA
"82","AP009212","Acanthaluteres brownii","species",NA,"Acanthaluteres brownii","Acanthaluteres brownii","Acanthaluteres brownii",279462,"accepted","(Richardson, 1846)","Eukaryota","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Acanthaluteres","0","0",NA,NA
"83","AP006819","Acanthaphritis unoorum","species",NA,"Acanthaphritis unoorum","Acanthaphritis unoorum","Acanthaphritis unoorum",279468,"accepted","Suzuki & Nakabo, 1996","Eukaryota","Chordata","Teleostei","Acropomatiformes","Hemerocoetidae","Acanthaphritis","0","0",NA,NA
"84","PV034393","Acantharchus pomotis","species",NA,"Acantharchus pomotis","Acantharchus pomotis","Acantharchus pomotis",293694,"accepted","(Baird, 1855)","Eukaryota","Chordata","Teleostei","Centrarchiformes","Centrarchidae","Acantharchus","1","0",NA,NA
