"","accepted_name","verbatim_name","taxonomic_status","species","taxon_rank","class","order","family","genus","is_marine","is_brackish","is_freshwater","taxon_id","ncbi_id","fishbase_name"
"51","Sebastes crameri","Sebastes crameri","accepted","Sebastes crameri","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274785,72067,"Sebastes crameri"
"52","Sebastes wilsoni","Sebastes wilsoni","accepted","Sebastes wilsoni","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274868,72107,"Sebastes wilsoni"
"53","Coryphaenoides cinereus","Coryphaenoides cinereus","accepted","Coryphaenoides cinereus","species","Teleostei","Gadiformes","Macrouridae","Coryphaenoides",TRUE,FALSE,FALSE,272326,83391,"Coryphaenoides cinereus"
"54","Sebastes nebulosus","Sebastes nebulosus","accepted","Sebastes nebulosus","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274824,394698,"Sebastes nebulosus"
"55","Sebastes variegatus","Sebastes variegatus","accepted","Sebastes variegatus","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274863,72106,"Sebastes variegatus"
"56","Bathyraja interrupta","Bathyraja interrupta","accepted","Bathyraja interrupta","species","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja",TRUE,FALSE,FALSE,271515,341244,"Bathyraja interrupta"
"57","Sebastes borealis","Sebastes borealis","accepted","Sebastes borealis","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274777,394687,"Sebastes borealis"
"58","Cymatogaster aggregata","Cymatogaster aggregata","accepted","Cymatogaster aggregata","species","Teleostei","Ovalentaria incertae sedis","Embiotocidae","Cymatogaster",TRUE,TRUE,FALSE,280461,50794,"Cymatogaster aggregata"
"59","Hexagrammos decagrammus","Hexagrammos decagrammus","accepted","Hexagrammos decagrammus","species","Teleostei","Perciformes","Hexagrammidae","Hexagrammos",TRUE,FALSE,FALSE,240732,274741,"Hexagrammos decagrammus"
"60","Podothecus accipenserinus","Podothecus accipenserinus","accepted","Podothecus accipenserinus","species","Teleostei","Perciformes","Agonidae","Podothecus",TRUE,FALSE,FALSE,254501,320612,"Podothecus accipenserinus"
"61","Sebastes jordani","Sebastes jordani","accepted","Sebastes jordani","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274806,72081,"Sebastes jordani"
"62","Albatrossia pectoralis","Albatrossia pectoralis","accepted","Albatrossia pectoralis","species","Teleostei","Gadiformes","Macrouridae","Albatrossia",TRUE,FALSE,FALSE,236135,83392,"Albatrossia pectoralis"
"63","Malacocottus kincaidi","Malacocottus kincaidi","accepted","Malacocottus kincaidi","species","Teleostei","Perciformes","Psychrolutidae","Malacocottus",TRUE,FALSE,FALSE,279442,433396,"Malacocottus kincaidi"
"64","Malacocottus zonurus","Malacocottus zonurus","accepted","Malacocottus zonurus","species","Teleostei","Perciformes","Psychrolutidae","Malacocottus",TRUE,FALSE,FALSE,254406,200682,"Malacocottus zonurus"
"65","Lumpenus sagitta","Lumpenus sagitta","accepted","Lumpenus sagitta","species","Teleostei","Perciformes","Lumpenidae","Lumpenus",TRUE,FALSE,FALSE,254579,428036,"Lumpenus sagitta"
"66","Salmo salar","Salmo salar","accepted","Salmo salar","species","Teleostei","Salmoniformes","Salmonidae","Salmo",TRUE,TRUE,TRUE,127186,8030,"Salmo salar"
"67","Lycodes brevipes","Lycodes brevipes","accepted","Lycodes brevipes","species","Teleostei","Perciformes","Zoarcidae","Lycodes",TRUE,FALSE,FALSE,254595,433387,"Lycodes brevipes"
"68","Lycodes cortezianus","Lycodes cortezianus","accepted","Lycodes cortezianus","species","Teleostei","Perciformes","Zoarcidae","Lycodes",TRUE,FALSE,FALSE,274097,57818,"Lycodes cortezianus"
"69","Sebastes nigrocinctus","Sebastes nigrocinctus","accepted","Sebastes nigrocinctus","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274825,72089,"Sebastes nigrocinctus"
"70","Antimora microlepis","Antimora microlepis","accepted","Antimora microlepis","species","Teleostei","Gadiformes","Moridae","Antimora",TRUE,FALSE,FALSE,272460,497157,"Antimora microlepis"
"71","Lycodes diapterus","Lycodes diapterus","accepted","Lycodes diapterus","species","Teleostei","Perciformes","Zoarcidae","Lycodes",TRUE,FALSE,FALSE,254597,215426,"Lycodes diapterus"
"72","Platichthys stellatus","Platichthys stellatus","accepted","Platichthys stellatus","species","Teleostei","Pleuronectiformes","Pleuronectidae","Platichthys",TRUE,TRUE,TRUE,154781,195632,"Platichthys stellatus"
"73","Chitonotus pugetensis","Chitonotus pugetensis","accepted","Chitonotus pugetensis","species","Teleostei","Perciformes","Cottidae","Chitonotus",TRUE,FALSE,FALSE,280162,283635,"Chitonotus pugetensis"
"74","Bathyagonus pentacanthus","Bathyagonus pentacanthus","accepted","Bathyagonus pentacanthus","species","Teleostei","Perciformes","Agonidae","Bathyagonus",TRUE,FALSE,FALSE,254506,433407,"Bathyagonus pentacanthus"
"75","Stenobrachius leucopsarus","Stenobrachius leucopsarus","accepted","Stenobrachius leucopsarus","species","Teleostei","Myctophiformes","Myctophidae","Stenobrachius",TRUE,FALSE,FALSE,254363,91658,"Stenobrachius leucopsarus"
"76","Salvelinus malma","Salvelinus malma","accepted","Salvelinus malma","species","Teleostei","Salmoniformes","Salmonidae","Salvelinus",TRUE,TRUE,TRUE,254570,8039,"Salvelinus malma"
"77","Icelinus filamentosus","Icelinus filamentosus","accepted","Icelinus filamentosus","species","Teleostei","Perciformes","Cottidae","Icelinus",TRUE,FALSE,FALSE,281136,274762,"Icelinus filamentosus"
"78","Poroclinus rothrocki","Poroclinus rothrocki","accepted","Poroclinus rothrocki","species","Teleostei","Perciformes","Lumpenidae","Poroclinus",TRUE,FALSE,FALSE,254385,557414,"Poroclinus rothrocki"
"79","Sebastes aurora","Sebastes aurora","accepted","Sebastes aurora","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274774,72058,"Sebastes aurora"
"80","Citharichthys stigmaeus","Citharichthys stigmaeus","accepted","Citharichthys stigmaeus","species","Teleostei","Pleuronectiformes","Paralichthyidae","Citharichthys",TRUE,FALSE,FALSE,275696,319775,"Citharichthys stigmaeus"
"81","Leptocottus armatus","Leptocottus armatus","accepted","Leptocottus armatus","species","Teleostei","Perciformes","Cottidae","Leptocottus",TRUE,TRUE,FALSE,254345,214925,"Leptocottus armatus"
"82","Sebastes miniatus","Sebastes miniatus","accepted","Sebastes miniatus","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,274820,72087,"Sebastes miniatus"
"83","Radulinus asprellus","Radulinus asprellus","accepted","Radulinus asprellus","species","Teleostei","Perciformes","Cottidae","Radulinus",TRUE,FALSE,FALSE,282541,274768,"Radulinus asprellus"
"84","Tarletonbeania crenularis","Tarletonbeania crenularis","accepted","Tarletonbeania crenularis","species","Teleostei","Myctophiformes","Myctophidae","Tarletonbeania",TRUE,FALSE,FALSE,282927,91660,"Tarletonbeania crenularis"
"85","Ronquilus jordani","Ronquilus jordani","accepted","Ronquilus jordani","species","Teleostei","Perciformes","Bathymasteridae","Ronquilus",TRUE,FALSE,FALSE,282629,428030,"Ronquilus jordani"
"86","Limanda aspera","Limanda aspera","accepted","Limanda aspera","species","Teleostei","Pleuronectiformes","Pleuronectidae","Limanda",TRUE,FALSE,FALSE,254562,195624,"Limanda aspera"
"87","Bathyraja aleutica","Bathyraja aleutica","accepted","Bathyraja aleutica","species","Elasmobranchii","Rajiformes","Arhynchobatidae","Bathyraja",TRUE,FALSE,FALSE,271506,341243,"Bathyraja aleutica"
"88","Hemilepidotus hemilepidotus","Hemilepidotus hemilepidotus","accepted","Hemilepidotus hemilepidotus","species","Teleostei","Perciformes","Cottidae","Hemilepidotus",TRUE,FALSE,FALSE,254521,433390,"Hemilepidotus hemilepidotus"
"89","Chauliodus macouni","Chauliodus macouni","accepted","Chauliodus macouni","species","Teleostei","Stomiiformes","Stomiidae","Chauliodus",TRUE,FALSE,FALSE,275055,302055,"Chauliodus macouni"
"90","Cololabis saira","Cololabis saira","accepted","Cololabis saira","species","Teleostei","Beloniformes","Scomberesocidae","Cololabis",TRUE,FALSE,FALSE,280366,129043,"Cololabis saira"
"91","Xeneretmus latifrons","Xeneretmus latifrons","accepted","Xeneretmus latifrons","species","Teleostei","Perciformes","Agonidae","Xeneretmus",TRUE,FALSE,FALSE,283171,274780,"Xeneretmus latifrons"
"92","Sebastes variabilis","Sebastes variabilis","accepted","Sebastes variabilis","species","Teleostei","Perciformes","Sebastidae","Sebastes",TRUE,FALSE,FALSE,398442,394707,"Sebastes variabilis"
"93","Lycodes palearis","Lycodes palearis","accepted","Lycodes palearis","species","Teleostei","Perciformes","Zoarcidae","Lycodes",TRUE,FALSE,FALSE,254585,215425,"Lycodes palearis"
