accepted_name,verbatim_name,taxonomic_status,species,taxon_rank,class,order,family,genus,is_marine,is_brackish,is_freshwater,taxon_id,ncbi_id,region
Paraliparis dactylosus,Paraliparis dactylosus,accepted,Paraliparis dactylosus,species,Teleostei,Perciformes,Liparidae,Paraliparis,TRUE,FALSE,FALSE,274568,557357,Gulf of Alaska
Gymnocanthus pistilliger,Gymnocanthus pistilliger,accepted,Gymnocanthus pistilliger,species,Teleostei,Perciformes,Cottidae,Gymnocanthus,TRUE,FALSE,FALSE,254519,1176151,Gulf of Alaska
Sebastes diploproa,Sebastes diploproa,accepted,Sebastes diploproa,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274787,72069,Gulf of Alaska
Aspidophoroides monopterygius,Aspidophoroides monopterygius,accepted,Aspidophoroides monopterygius,species,Teleostei,Perciformes,Agonidae,Aspidophoroides,TRUE,FALSE,FALSE,159459,255537,Gulf of Alaska
Sebastes maliger,Sebastes maliger,accepted,Sebastes maliger,species,Teleostei,Perciformes,Sebastidae,Sebastes,TRUE,FALSE,FALSE,274815,72084,Gulf of Alaska
Lycodes palearis,Lycodes palearis,accepted,Lycodes palearis,species,Teleostei,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,254585,215425,Gulf of Alaska
Lycodes diapterus,Lycodes diapterus,accepted,Lycodes diapterus,species,Teleostei,Perciformes,Zoarcidae,Lycodes,TRUE,FALSE,FALSE,254597,215426,Gulf of Alaska
Coryphaenoides acrolepis,Coryphaenoides acrolepis,accepted,Coryphaenoides acrolepis,species,Teleostei,Gadiformes,Macrouridae,Coryphaenoides,TRUE,FALSE,FALSE,272313,83390,Gulf of Alaska
Spirinchus thaleichthys,Spirinchus thaleichthys,accepted,Spirinchus thaleichthys,species,Teleostei,Osmeriformes,Osmeridae,Spirinchus,TRUE,TRUE,TRUE,282844,260508,Gulf of Alaska
Artedius fenestralis,Artedius fenestralis,accepted,Artedius fenestralis,species,Teleostei,Perciformes,Cottidae,Artedius,TRUE,FALSE,FALSE,279700,274758,Gulf of Alaska
Bothrocara pusillum,Bothrocara pusillum,accepted,Bothrocara pusillum,species,Teleostei,Perciformes,Zoarcidae,Bothrocara,TRUE,FALSE,FALSE,279400,2048771,Gulf of Alaska
