bc_haidagwaii,2012-09-16,2012-10-17,043ef81b62e6e793e19eccdfcf711258.nc
uk_1,1998-07-17,1998-08-17,0448bcf982bfa3427f9a923147b94c22.nc
Delaware,1995-04-16,NA,04492edd66f62abaec4d7083e3ccafe9.nc
spain_e,2005-06-16,NA,044b3e092c74b17a86692642a5557288.nc
nz_1,2008-09-16,NA,045013d5db57600b96c359a5c35f9a0c.nc
netherlands,2010-04-16,NA,04544bd6ef408c131bcecc1f56ad615a.nc
Delaware,2001-11-16,NA,045aa25b41dd4e394e901537737a3212.nc
aleut2,2000-12-17,2001-01-17,045c6b5834adef87ada5e6375018c547.nc
ca4,2010-02-15,NA,045cc2be3c897823928ccea9bd2e618d.nc
nova_scotia,2020-07-17,2020-08-17,045d83299f8dc532692add69361d5c73.nc
tx_1,2005-04-16,NA,0462d9b39881006759a399b51bf4e089.nc
aus_12,1989-09-16,NA,046ae18596461262e0093570f8728842.nc
kittyhawk_nc,1997-02-15,1997-03-17,046c2262e52e674e315a4270f7610768.nc
Delaware,2011-09-16,2011-10-17,047970df6a65087eb000753f6a4faadb.nc
bc_haidagwaii,1992-06-16,NA,04817a1bea0b6b8c8753cb37bd786cc2.nc
aleut1,1988-06-16,NA,04865d6cb4f9a6458c177b99f86aaae7.nc
saf_4,1985-02-15,NA,04870c82c792cf0fc5b5e4f94e535c75.nc
scotland,2012-07-17,2012-08-17,048c1be05d2440c62be0cda1e8593cc9.nc
nz_1,1992-11-16,1992-12-17,04955c237ae0a6b789fc3d2f1fd39e41.nc
fundy_bay,2014-04-16,NA,04965da8fedad54185a0f8e74c07daa2.nc
aus_12,2000-12-17,2001-01-17,049fc55398d5d63749489a02c6f5e744.nc
puget_sound,2016-06-16,2016-07-17,04ab613b1c97aaf71c17442cf031d61d.nc
carib_2,1994-12-17,1995-01-17,04b0a24af18e5af64cf6478e60fc4fcf.nc
ca2,2022-07-17,2022-08-17,04b45c46bc3444d722a3f712669428a5.nc
taiwan_yellowsea,1985-04-16,1985-05-17,04b7bba0ab1d1e6821bb54f66defc9eb.nc
bc_vi2hg,1991-06-16,NA,04bce40bf8596e8752bab6538631c41b.nc
ireland_2,2016-11-16,NA,04c75ee17b715731ee8d3cb3f972d8f0.nc
nz_1,2009-11-16,2009-12-17,04cd748613ae99a39155818da8f89eb1.nc
florida_e,2010-02-15,2010-03-17,04d151c45f28f7487762617e0510f012.nc
aus_12,2000-06-16,NA,04d238136f2f026d6f268693f3c55373.nc
saf_3,1987-12-17,1988-01-17,04d96cec6aabc06d46a5fcd2ececaee6.nc
maine,2010-04-16,2010-05-17,04da932a5be7b0256cbb4bf62fa1d1e0.nc
tx_2,2003-02-15,NA,04ebdfa2951f984c9ee3f7bd6973ac72.nc
baltic_1,2015-02-15,2015-03-17,04ec09039aa7b6b978691562344bf5e8.nc
nyc,2004-09-16,2004-10-17,04f1319254619481323849175cbe10d3.nc
bc_vi2hg,1991-06-16,1991-07-17,04fb6404191084c26c25a35b92e527dc.nc
ca2,2019-09-16,2019-10-17,05073f7b424e60a0ab4fa10bab44ca8c.nc
saf_2,2015-02-15,NA,0507f7bf93bdee1685c11599378c3f55.nc
fundy_bay,2013-11-16,NA,050b0adc0ed399e3cad102a614901b28.nc
nor_5,2003-09-16,2003-10-17,0516d3b76572b282b6cadd2e2bed288a.nc
germany_w,2018-11-16,NA,051937731c170aeeb086d29c6f4c4e03.nc
new_england,1998-09-16,1998-10-17,0519a2c5936a0280835dca39a9659605.nc
bear_isl,2018-09-16,NA,051a9914fc13942c1d11406186e679a2.nc
Biscay,2003-06-16,NA,051b65959aafc09351b88884577ae5cb.nc
new_orleans,1985-11-16,NA,051c3ee2948dbb04fe90957af2363675.nc
saf_3,1989-06-16,1989-07-17,052365331c1cb68b6b84465f331e80c4.nc
tx_2,2003-07-17,2003-08-17,052939e35e0b6bfc6e7878cb8b9c46a7.nc
tasmania,2018-12-17,2019-01-17,0535fe8a0c51c5dba0b39ecb75fd8c40.nc
ca3,2013-04-16,2013-05-17,053d92ad675c43ec1211857a16e40480.nc
florida_e,1999-06-16,1999-07-17,05409ed1b7d73a27743fe9c039aa85c8.nc
ca1,2021-07-17,2021-08-17,0540ea4de8c4c19cb38696752a33b795.nc
ca2,2007-09-16,2007-10-17,0542e6b7227287cbaa13a32a89085c04.nc
nor_5,2004-02-16,2004-03-17,0543df44374a67cc765a2e4a8e2ed6de.nc
mex4,1986-09-16,1986-10-17,054a1d9bdee995b7a7180c5d916eba2f.nc
nor_1,2012-06-16,2012-07-17,054a6c5ad88ba3d493a83d04dd1fd9d8.nc
new_bruns,2020-09-16,NA,054b25e0ab8096cfa1f9ac7c7b65df22.nc
aus_3,2007-02-15,2007-03-17,0553c30a06a2c032ff267c85df9ca634.nc
bc_vi2hg,1983-07-17,1983-08-17,055cd57bf0ff4e74d663e10345a07eb6.nc
nor_5,2010-07-17,2010-08-17,05631dd534ef2bf213106dcd57ea51f8.nc
new_orleans,1997-04-16,NA,0566be25a7e4b40446d427fd308449bd.nc
tx_1,1984-02-16,1984-03-17,056c772c7f961c69792acab852d79cac.nc
bc_haidagwaii,2021-09-16,2021-10-17,056e81eb488ce8cc0b2ecb554668776b.nc
fundy_bay,1982-06-16,1982-07-17,056efaab35b6977b0cdfd6b8f660e387.nc
st_lawrence_qc,1997-06-16,NA,0576bd3d2fcf34229df93fbd42eba69c.nc
ca1,2012-02-16,NA,05790c3f9ca28c540a926059dfb95e06.nc
bc_vancouverisland,1993-07-17,1993-08-17,057a05ff1902762eff69f7ea0d75ccbe.nc
newfoundland_1,2006-09-16,2006-10-17,057ee6099a0a846d2bcddfc47ed4e25e.nc
netherlands,2002-04-16,2002-05-17,058f7e2f65376295eb8a4c7a689dbcad.nc
mex4,1986-04-16,1986-05-17,059879ef244ff11a232f6cc20918a907.nc
Delaware,2006-04-16,2006-05-17,059e02f21634b32d99cfc27d94ec2f59.nc
denmark,2012-12-17,2013-01-17,05aa154bba14a09bf6c6cce1749ea37b.nc
tx_1,2003-06-16,2003-07-17,05b1a7b86073c38c99e750738b03d292.nc
saf_2,1986-06-16,1986-07-17,05ba330a3c21fe7ee7ff2c66ee0428b7.nc
aleut1,2007-04-16,2007-05-17,05c0000787d918cc8d626ea033f11976.nc
nor_3,2022-02-15,2022-03-17,05c46071abdc09e83d38d2e2affe66f6.nc
nova_scotia,1984-09-16,NA,05c550f3785ead23ac78fbb1a110426a.nc
kittyhawk_nc,2013-02-15,2013-03-17,05cbe03258578ef989b268d1752e6387.nc
saf_1,1987-02-15,NA,05cc20508541ed161a5d858d007cec25.nc
bc_vancouverisland,1990-09-16,1990-10-17,05d4670149a879457f470068c8ea3a4b.nc
aus_9,2011-06-16,2011-07-17,05efb109934182f62eebba844ab03b25.nc
bc_haidagwaii,1984-09-16,NA,05f15e80840d3bb4c760ce2c0db67fb5.nc
scotland,2009-11-16,NA,05f2ab56720f18c65755efde659ebd4c.nc
aleut1,2005-09-16,NA,05f52b17aff45f25874439f20fba4715.nc
bc_vi2hg,2012-04-16,2012-05-17,05fcad0b45f0f3b0e7710e0cb1450d5d.nc
aus_1,2006-09-16,2006-10-17,060440400f0ff1c4dc386a184feeafee.nc
quebec_n,1982-09-16,NA,060c2797cc939217de86c8e6e33e308e.nc
netherlands,1991-09-16,NA,061314d260d8637dc1d03f0cd04652cb.nc
Delaware,1998-11-16,1998-12-17,06178728eadf359c0f4c4ef36b48c4a0.nc
puget_sound,2019-12-17,2020-01-17,06198342b8aa9c49da694c7c78e7aec7.nc
saf_4,2010-02-15,2010-03-17,061a9dfeb0ce149e4be91ca539dac537.nc
saf_2,1992-02-16,1992-03-17,061aa2c38831a142e3299f13663267ef.nc
puget_sound,1989-04-16,NA,061ff74e13ce9c1ee163c11a26075519.nc
saf_4,2018-02-15,NA,062717cd0dbcf231a02dfdcbe77e8eef.nc
Delaware,2013-06-16,NA,062b8226bcd1b7dd906215101f7115b0.nc
svalbard,2016-09-16,2016-10-17,062e6dd554deb46803d0f80dc8a20dee.nc
japan2,2011-11-16,NA,06316621d5511e852c2e6af756a1b998.nc
ca1,2018-07-17,2018-08-17,0633ecf0c3d0ba8d07d69f4883f791b9.nc
quebec_n,1991-07-17,1991-08-17,0641e12781bf06aef418adc1f5513c77.nc
ca5,2018-09-16,2018-10-17,06428f0c9456e423b6fc7cd26e92f455.nc
puget_sound,2020-07-17,2020-08-17,06441d9f3d682d189594850351b5c70a.nc
aus_12,1988-09-16,NA,0646e7ae9ff018ae54daa946eb6dbdb3.nc
saf_3,1999-02-15,NA,06473de180c9e6c36eebcc9760ef0ab2.nc
baltic_1,1996-02-16,NA,065ebc6988b2dfb99527ccb0d380481e.nc
new_orleans,2001-06-16,NA,0666757ac563cf0aa81ee6924ac97847.nc
ca2,2011-11-16,NA,066860c6be1795e2b9674fbafa844239.nc
ca4,2015-12-17,2016-01-17,06690f4bcfa05d478473c091e4e02c19.nc
new_bruns,2011-07-17,2011-08-17,0669b2e43a558b1d04304d993ebaaaef.nc
ca4,1996-04-16,1996-05-17,066a65fc1e9b229917774db5dd2b2702.nc
japan1,2006-11-16,2006-12-17,066b08f5182f6a39f7ccdf359817e328.nc
saf_2,1985-06-16,NA,066bbc49ce0a8d98e822590aa34c8f54.nc
saf_3,2001-02-15,NA,067d085167e9e8beb0d858d0b5a6fe29.nc
saf_4,1995-02-15,1995-03-17,067e12583519b10481ee528f9d3d8ee6.nc
mex4,1989-12-17,1990-01-17,067e6aff14e77fbee12a804b7c26621b.nc
quebec_n,1995-09-16,NA,06800b173956d0273e89182c58ca0a09.nc
aus_12,2019-09-16,2019-10-17,06923b2258a82a1c54baa291b8d860da.nc
bc_vi2hg,2015-07-17,2015-08-17,069379267fd35fe91b82b122ef0696f8.nc
puget_sound,2004-04-16,NA,069754f034eca8e52bd51d747b0240ca.nc
namibia,1985-11-16,1985-12-17,069e160de8408711abae42ded5d9275b.nc
bear_isl,2017-09-16,NA,069e73b25b3a0f7508ad1add5b7786b2.nc
denmark,1991-04-16,NA,06a1e0ca50b5110f4281a3226f063dd1.nc
bc_vancouverisland,1985-07-17,1985-08-17,06a982a09c62bcbe221dabe1f3f2ddb3.nc
bc_vancouverisland,1992-07-17,1992-08-17,06ae163a88202a98e1d630bf12aab838.nc
poland,2020-11-16,NA,06b264f93f966e49f99ba8bb3da9ba03.nc
nor_4,2013-09-16,2013-10-17,06cb3d71c1fdb4c1ba3779022cdc0c8f.nc
saf_4,1994-02-15,1994-03-17,06ddbc7c83decd6d7f43973f5ceaad01.nc
ireland_1,2015-07-17,2015-08-17,06ddd9a942353eb31f875fd2dc7be958.nc
quebec_n,1996-07-17,1996-08-17,06ec24ea73397e31d808e3c5e4882402.nc
maine,2015-04-16,2015-05-17,06f7c8f2a6db5af557a036ed3e12732a.nc
tx_1,2004-04-16,NA,0701578732bc2a707301ff49218fe52f.nc
saf_4,2014-04-16,NA,0707063bfb8e37710f7c37bcd6181bf9.nc
new_england,1986-11-16,NA,070935e49491c768912058461965dc04.nc
nova_scotia,1982-09-16,NA,07120af586c01fbedd07d149cb2d24fe.nc
bc_vancouverisland,2011-02-15,2011-03-17,0715e931b98298971cfd438077ac90bc.nc
saf_5,2001-11-16,NA,0717a77fdedafef09d53650663c59df1.nc
or_wa,2015-09-16,NA,0721d35c0aa01960e881b9f4e2f79286.nc
saf_3,2002-11-16,2002-12-17,073a8b2e2dd274c9b4a8c7704e00baa8.nc
ca1,2010-04-16,NA,073dbcaaac655d0a1137b788d9899162.nc
bc_vancouverisland,1981-12-17,1982-01-17,0745b5e778dda6caf777df00a045d28e.nc
newfoundland_1,2002-09-16,2002-10-17,074a5c080178d278b38d4fb1d6009648.nc
japan2,2011-04-16,NA,075a5ba5e9badbfdc5e9db489d6e057e.nc
Delaware,2007-02-15,2007-03-17,0768e2bbecd77241038601be2a30b318.nc
bc_haidagwaii,2008-04-16,NA,0769e00ea6885ff83509cc69ba0bab94.nc
nova_scotia,2017-06-16,2017-07-17,076d3f1269c37e296078afbc984b3a65.nc
ca1,2016-06-16,2016-07-17,077420c22e19202d5683a600f843aff5.nc
netherlands,1985-04-16,1985-05-17,07795bc055ae761937c3391bd13eba6f.nc
nz_1,1986-04-16,NA,077f54a9019e938802d6984d0dbd64b2.nc
