region_label,grp,condval,condsd,model
"Humboldt Bay, California",HB_KS,0.394,0.004,Mean SST
"Humboldt Bay, California",HB_SR,0.131,0.003,Mean SST
"Humboldt Bay, California",HB_EB,-0.201,0.192,Upwelling
"Humboldt Bay, California",HB_KS,0.19,0.192,Upwelling
"Humboldt Bay, California",HB_SR,0.011,0.156,Upwelling
"Bodega Bay, California",NC_B,-1.025,0.83,95th percentile SST
"Bodega Bay, California",NC_BL,0.027,0.684,95th percentile SST
"Bodega Bay, California",NC_D,-0.418,0.83,95th percentile SST
"Bodega Bay, California",NC_DE,0.101,0.594,95th percentile SST
"Bodega Bay, California",NC_E,0.502,0.83,95th percentile SST
"Bodega Bay, California",NC_NC,1.08,0.684,95th percentile SST
"Bodega Bay, California",NC_WP,-0.267,0.533,95th percentile SST
"Bodega Bay, California",NC_B,-0.627,0.792,75th
"Bodega Bay, California",NC_BL,0.203,0.691,75th
"Bodega Bay, California",NC_D,-0.23,0.792,75th
"Bodega Bay, California",NC_DE,0.089,0.621,75th
"Bodega Bay, California",NC_E,0.431,0.792,75th
"Bodega Bay, California",NC_NC,0.398,0.691,75th
"Bodega Bay, California",NC_WP,-0.264,0.569,75th
"Bodega Bay, California",NC_B,-0.609,0.755,Mean SST
"Bodega Bay, California",NC_BL,0.188,0.654,Mean SST
"Bodega Bay, California",NC_D,-0.195,0.755,Mean SST
"Bodega Bay, California",NC_DE,0.127,0.586,Mean SST
"Bodega Bay, California",NC_E,0.524,0.755,Mean SST
"Bodega Bay, California",NC_NC,0.329,0.654,Mean SST
"Bodega Bay, California",NC_WP,-0.364,0.535,Mean SST
"Bodega Bay, California",NC_B,-0.935,0.764,Upwelling
"Bodega Bay, California",NC_BL,-0.329,0.613,Upwelling
"Bodega Bay, California",NC_D,-0.264,0.764,Upwelling
"Bodega Bay, California",NC_DE,-0.232,0.526,Upwelling
"Bodega Bay, California",NC_E,0.651,0.764,Upwelling
"Bodega Bay, California",NC_NC,1.279,0.613,Upwelling
"Bodega Bay, California",NC_WP,-0.17,0.469,Upwelling
"San Francisco Bay, California",NC_PM,0.645,0.653,95th percentile SST
"San Francisco Bay, California",NC_PS,0.036,0.653,95th percentile SST
"San Francisco Bay, California",NC_RB,-0.681,0.741,95th percentile SST
"San Francisco Bay, California",NC_PM,0.098,0.241,75th
"San Francisco Bay, California",NC_PS,-0.011,0.241,75th
"San Francisco Bay, California",NC_RB,-0.087,0.245,75th
"San Francisco Bay, California",NC_PM,0.642,0.545,Mean SST
"San Francisco Bay, California",NC_PS,-0.029,0.545,Mean SST
"San Francisco Bay, California",NC_RB,-0.613,0.619,Mean SST
"San Francisco Bay, California",NC_PM,0.474,0.665,Upwelling
"San Francisco Bay, California",NC_PS,-0.184,0.665,Upwelling
"San Francisco Bay, California",NC_RB,-0.29,0.748,Upwelling
"Morro Bay, California",MB_CB,-0.169,0.088,95th percentile SST
"Morro Bay, California",MB_TP,0.169,0.099,95th percentile SST
"Morro Bay, California",MB_CB,-0.172,0.086,75th
"Morro Bay, California",MB_TP,0.172,0.097,75th
"Morro Bay, California",MB_CB,-0.172,0.084,Mean SST
"Morro Bay, California",MB_TP,0.172,0.096,Mean SST
"Morro Bay, California",MB_CB,-0.171,0.088,Upwelling
"Morro Bay, California",MB_TP,0.171,0.099,Upwelling
"Los Angeles, California",LA_AB,-0.627,0.395,95th percentile SST
"Los Angeles, California",LA_JD,0.341,0.361,95th percentile SST
"Los Angeles, California",LA_LN,-0.199,0.361,95th percentile SST
"Los Angeles, California",LA_MS,0.732,0.395,95th percentile SST
"Los Angeles, California",LA_SP,-0.267,0.441,95th percentile SST
"Los Angeles, California",LA_UN,0.02,0.361,95th percentile SST
"Los Angeles, California",LA_AB,-0.616,0.412,75th
"Los Angeles, California",LA_JD,0.401,0.374,75th
"Los Angeles, California",LA_LN,-0.257,0.374,75th
"Los Angeles, California",LA_MS,0.847,0.412,75th
"Los Angeles, California",LA_SP,-0.389,0.464,75th
"Los Angeles, California",LA_UN,0.013,0.374,75th
"Los Angeles, California",LA_AB,-0.328,0.337,Mean SST
"Los Angeles, California",LA_JD,0.139,0.321,Mean SST
"Los Angeles, California",LA_LN,-0.023,0.321,Mean SST
"Los Angeles, California",LA_MS,0.308,0.337,Mean SST
"Los Angeles, California",LA_SP,-0.185,0.356,Mean SST
"Los Angeles, California",LA_UN,0.089,0.321,Mean SST
"Los Angeles, California",LA_AB,-0.362,0.348,Upwelling
"Los Angeles, California",LA_JD,0.153,0.33,Upwelling
"Los Angeles, California",LA_LN,-0.029,0.33,Upwelling
"Los Angeles, California",LA_MS,0.345,0.348,Upwelling
"Los Angeles, California",LA_SP,-0.2,0.369,Upwelling
"Los Angeles, California",LA_UN,0.093,0.33,Upwelling
"San Diego region, California",SD_CI,-0.18,0.588,95th percentile SST
"San Diego region, California",SD_CV,0.045,0.529,95th percentile SST
"San Diego region, California",SD_FI,0.1,0.556,95th percentile SST
"San Diego region, California",SD_KF,0.269,0.588,95th percentile SST
"San Diego region, California",SD_SDL,0.387,0.588,95th percentile SST
"San Diego region, California",SD_SI,-0.621,0.529,95th percentile SST
"San Diego region, California",SD_CI,-0.242,0.627,75th
"San Diego region, California",SD_CV,0.047,0.557,75th
"San Diego region, California",SD_FI,0.126,0.589,75th
"San Diego region, California",SD_KF,0.301,0.627,75th
"San Diego region, California",SD_SDL,0.464,0.627,75th
"San Diego region, California",SD_SI,-0.697,0.557,75th
"San Diego region, California",SD_CI,-0.264,0.634,Mean SST
"San Diego region, California",SD_CV,0.049,0.562,Mean SST
"San Diego region, California",SD_FI,0.141,0.595,Mean SST
"San Diego region, California",SD_KF,0.284,0.634,Mean SST
"San Diego region, California",SD_SDL,0.49,0.634,Mean SST
"San Diego region, California",SD_SI,-0.7,0.562,Mean SST
"San Diego region, California",SD_CI,-0.124,0.496,Upwelling
"San Diego region, California",SD_CV,0.043,0.463,Upwelling
"San Diego region, California",SD_FI,0.103,0.479,Upwelling
"San Diego region, California",SD_KF,0.126,0.496,Upwelling
"San Diego region, California",SD_SDL,0.259,0.496,Upwelling
"San Diego region, California",SD_SI,-0.407,0.463,Upwelling
