region_label,grp,condval,condsd,model
"Willapa Bay, Washington",WB_WR,-0.353,0.257,upwelling
"Yaquina Bay, Oregon",YB_F,0.024,0.23,95th
"Yaquina Bay, Oregon",YB_IF,-0.279,0.149,95th
"Yaquina Bay, Oregon",YB_SBN,0.338,0.149,95th
"Yaquina Bay, Oregon",YB_SBS,-0.082,0.149,95th
"Yaquina Bay, Oregon",YB_F,-0.016,0.233,75th
"Yaquina Bay, Oregon",YB_IF,-0.258,0.154,75th
"Yaquina Bay, Oregon",YB_SBN,0.34,0.154,75th
"Yaquina Bay, Oregon",YB_SBS,-0.067,0.154,75th
"Yaquina Bay, Oregon",YB_F,0.02,0.231,mean
"Yaquina Bay, Oregon",YB_IF,-0.277,0.15,mean
"Yaquina Bay, Oregon",YB_SBN,0.337,0.15,mean
"Yaquina Bay, Oregon",YB_SBS,-0.081,0.15,mean
"Yaquina Bay, Oregon",YB_F,-0.031,0.231,upwelling
"Yaquina Bay, Oregon",YB_IF,-0.254,0.152,upwelling
"Yaquina Bay, Oregon",YB_SBN,0.346,0.152,upwelling
"Yaquina Bay, Oregon",YB_SBS,-0.06,0.152,upwelling
"Coos Bay, Oregon",CB_BV,0.28,0.223,95th
"Coos Bay, Oregon",CB_FP,-0.28,0.259,95th
"Coos Bay, Oregon",CB_BV,0.31,0.277,75th
"Coos Bay, Oregon",CB_FP,-0.31,0.319,75th
"Coos Bay, Oregon",CB_BV,0.332,0.265,mean
"Coos Bay, Oregon",CB_FP,-0.332,0.308,mean
"Coos Bay, Oregon",CB_BV,0.266,0.216,upwelling
"Coos Bay, Oregon",CB_FP,-0.266,0.251,upwelling
"Humboldt Bay, California",HB_EB,-0.182,0,95th
"Humboldt Bay, California",HB_KS,0.285,0,95th
"Humboldt Bay, California",HB_SR,-0.104,0,95th
"Humboldt Bay, California",HB_EB,-0.072,0,75th
"Humboldt Bay, California",HB_KS,0.27,0,75th
"Humboldt Bay, California",HB_SR,-0.149,0,75th
"Humboldt Bay, California",HB_EB,-0.135,0.001,mean
"Humboldt Bay, California",HB_KS,0.287,0.001,mean
"Humboldt Bay, California",HB_SR,-0.153,0,mean
"Humboldt Bay, California",HB_EB,-0.102,0,upwelling
"Humboldt Bay, California",HB_KS,0.284,0,upwelling
"Humboldt Bay, California",HB_SR,-0.179,0,upwelling
"Bodega Bay, California",NC_B,-0.595,0.801,95th
"Bodega Bay, California",NC_BL,-0.171,0.699,95th
"Bodega Bay, California",NC_D,-0.278,0.801,95th
"Bodega Bay, California",NC_DE,0.147,0.629,95th
"Bodega Bay, California",NC_E,0.384,0.801,95th
"Bodega Bay, California",NC_NC,0.62,0.699,95th
"Bodega Bay, California",NC_WP,-0.108,0.576,95th
"Bodega Bay, California",NC_B,-0.397,0.746,75th
"Bodega Bay, California",NC_BL,0.032,0.67,75th
"Bodega Bay, California",NC_D,-0.144,0.746,75th
"Bodega Bay, California",NC_DE,0.105,0.613,75th
"Bodega Bay, California",NC_E,0.362,0.746,75th
"Bodega Bay, California",NC_NC,0.22,0.67,75th
"Bodega Bay, California",NC_WP,-0.177,0.569,75th
"Bodega Bay, California",NC_B,-0.378,0.715,mean
"Bodega Bay, California",NC_BL,-0.001,0.64,mean
"Bodega Bay, California",NC_D,-0.125,0.715,mean
"Bodega Bay, California",NC_DE,0.122,0.585,mean
"Bodega Bay, California",NC_E,0.401,0.715,mean
"Bodega Bay, California",NC_NC,0.202,0.64,mean
"Bodega Bay, California",NC_WP,-0.22,0.542,mean
"Bodega Bay, California",NC_B,-1.039,0.611,upwelling
"Bodega Bay, California",NC_BL,-0.718,0.472,upwelling
"Bodega Bay, California",NC_D,-0.381,0.611,upwelling
"Bodega Bay, California",NC_DE,-0.29,0.398,upwelling
"Bodega Bay, California",NC_E,1.06,0.611,upwelling
"Bodega Bay, California",NC_NC,1.512,0.472,upwelling
"Bodega Bay, California",NC_WP,-0.144,0.351,upwelling
"San Francisco Bay, California",NC_PM,0.5,0.719,95th
"San Francisco Bay, California",NC_PS,-0.068,0.719,95th
"San Francisco Bay, California",NC_RB,-0.432,0.811,95th
"San Francisco Bay, California",NC_PM,0.534,0.606,75th
"San Francisco Bay, California",NC_PS,-0.101,0.606,75th
"San Francisco Bay, California",NC_RB,-0.433,0.684,75th
"San Francisco Bay, California",NC_PM,0.491,0.608,mean
"San Francisco Bay, California",NC_PS,-0.132,0.608,mean
