motu_lulu,motu_swarm,asv,curated,lulu_rank
motu227,motu227,ASV513,parent,255
motu228,motu228,ASV523,parent,203
motu228,motu228,ASV4258,parent,203
motu228,motu228,ASV523,parent,203
motu229,motu229,ASV525,parent,199
motu229,motu229,ASV2195,parent,199
motu229,motu229,ASV525,parent,199
motu230,motu230,ASV529,parent,202
motu230,motu230,ASV2716,parent,202
motu230,motu230,ASV529,parent,202
motu231,motu231,ASV531,parent,263
motu232,motu232,ASV532,parent,264
motu233,motu233,ASV534,parent,265
motu234,motu234,ASV538,parent,266
motu235,motu235,ASV540,parent,267
motu236,motu236,ASV544,parent,189
motu236,motu236,ASV723,parent,189
motu236,motu236,ASV2674,parent,189
motu236,motu236,ASV544,parent,189
motu237,motu237,ASV548,parent,268
motu238,motu238,ASV557,parent,269
motu239,motu239,ASV559,parent,270
motu240,motu240,ASV562,parent,274
motu241,motu241,ASV565,parent,192
motu241,motu241,ASV729,parent,192
motu241,motu241,ASV2173,parent,192
motu241,motu241,ASV3961,parent,192
motu241,motu241,ASV565,parent,192
motu242,motu242,ASV569,parent,277
motu243,motu243,ASV572,parent,279
motu244,motu244,ASV574,parent,197
motu244,motu244,ASV787,parent,197
motu244,motu244,ASV574,parent,197
motu245,motu245,ASV575,parent,281
motu246,motu246,ASV579,parent,282
motu247,motu247,ASV585,parent,284
motu248,motu248,ASV587,parent,211
motu248,motu248,ASV1545,parent,211
motu248,motu248,ASV587,parent,211
motu249,motu249,ASV589,parent,219
motu249,motu249,ASV3790,parent,219
motu249,motu249,ASV589,parent,219
motu250,motu250,ASV590,parent,286
motu251,motu251,ASV592,parent,287
motu252,motu252,ASV594,parent,288
motu253,motu253,ASV597,parent,213
motu253,motu253,ASV1443,parent,213
motu253,motu253,ASV5083,parent,213
motu253,motu253,ASV4445,parent,213
motu253,motu253,ASV597,parent,213
motu254,motu254,ASV598,parent,214
motu254,motu254,ASV1576,parent,214
motu254,motu254,ASV598,parent,214
motu255,motu255,ASV602,parent,220
motu255,motu255,ASV3525,parent,220
motu255,motu255,ASV602,parent,220
motu256,motu256,ASV614,parent,291
motu257,motu257,ASV615,parent,293
motu258,motu258,ASV620,parent,296
motu259,motu259,ASV621,parent,297
motu260,motu260,ASV626,parent,298
motu261,motu261,ASV629,parent,299
motu262,motu262,ASV635,parent,301
motu263,motu263,ASV644,parent,302
motu264,motu264,ASV645,parent,303
motu265,motu265,ASV647,parent,304
motu266,motu266,ASV648,parent,305
motu267,motu267,ASV651,parent,224
motu267,motu267,ASV2341,parent,224
motu267,motu267,ASV2926,parent,224
motu267,motu267,ASV651,parent,224
motu268,motu268,ASV653,parent,227
motu268,motu268,ASV2734,parent,227
motu268,motu268,ASV653,parent,227
motu269,motu269,ASV658,parent,307
motu270,motu270,ASV669,parent,311
motu271,motu271,ASV676,parent,312
motu272,motu272,ASV680,parent,313
motu273,motu273,ASV682,parent,314
motu274,motu274,ASV683,parent,235
motu274,motu274,ASV4602,parent,235
motu274,motu274,ASV683,parent,235
motu275,motu275,ASV684,parent,315
motu276,motu276,ASV685,parent,316
motu277,motu277,ASV687,parent,230
motu277,motu277,ASV2154,parent,230
motu277,motu277,ASV687,parent,230
motu278,motu278,ASV688,parent,317
motu279,motu279,ASV689,parent,226
motu279,motu279,ASV1551,parent,226
motu279,motu279,ASV4519,parent,226
motu279,motu279,ASV689,parent,226
motu280,motu280,ASV699,parent,320
motu281,motu281,ASV704,parent,322
motu282,motu282,ASV705,parent,323
motu283,motu283,ASV710,parent,324
motu284,motu284,ASV711,parent,325
motu285,motu285,ASV719,parent,328
motu286,motu286,ASV721,parent,329
motu287,motu287,ASV722,parent,236
motu287,motu287,ASV2272,parent,236
motu287,motu287,ASV3689,parent,236
motu287,motu287,ASV3865,parent,236
motu287,motu287,ASV4557,parent,236
motu287,motu287,ASV722,parent,236
motu288,motu288,ASV727,parent,331
motu289,motu289,ASV730,parent,243
motu289,motu289,ASV2191,parent,243
motu289,motu289,ASV730,parent,243
motu290,motu290,ASV734,parent,332
motu291,motu291,ASV736,parent,333
motu292,motu292,ASV741,parent,246
motu292,motu292,ASV3003,parent,246
motu292,motu292,ASV741,parent,246
motu293,motu293,ASV746,parent,334
motu294,motu294,ASV748,parent,238
motu294,motu294,ASV1530,parent,238
motu294,motu294,ASV748,parent,238
motu295,motu295,ASV751,parent,335
motu296,motu296,ASV753,parent,336
motu297,motu297,ASV772,parent,240
motu297,motu297,ASV1517,parent,240
motu297,motu297,ASV3995,parent,240
motu297,motu297,ASV772,parent,240
motu298,motu298,ASV775,parent,248
motu298,motu298,ASV2141,parent,248
motu298,motu298,ASV775,parent,248
motu299,motu299,ASV780,parent,342
motu300,motu300,ASV781,parent,343
motu301,motu301,ASV782,parent,344
