motu_lulu,motu_swarm,asv,curated,lulu_rank
motu72,motu72,ASV144,parent,60
motu72,motu72,ASV705,parent,60
motu72,motu72,ASV103,parent,60
motu73,motu73,ASV105,parent,89
motu74,motu74,ASV109,parent,72
motu74,motu74,ASV400,parent,72
motu74,motu74,ASV109,parent,72
motu75,motu75,ASV111,parent,64
motu75,motu75,ASV170,parent,64
motu75,motu75,ASV244,parent,64
motu75,motu75,ASV111,parent,64
motu76,motu76,ASV114,parent,74
motu76,motu76,ASV251,parent,74
motu76,motu76,ASV114,parent,74
motu77,motu77,ASV117,parent,65
motu77,motu77,ASV123,parent,65
motu77,motu77,ASV117,parent,65
motu78,motu78,ASV119,parent,94
motu79,motu79,ASV121,parent,79
motu79,motu79,ASV532,parent,79
motu79,motu79,ASV121,parent,79
motu80,motu80,ASV122,parent,76
motu80,motu80,ASV232,parent,76
motu80,motu80,ASV791,parent,76
motu80,motu80,ASV561,parent,76
motu80,motu80,ASV122,parent,76
motu81,motu81,ASV124,parent,73
motu81,motu81,ASV186,parent,73
motu81,motu81,ASV267,parent,73
motu81,motu81,ASV124,parent,73
motu82,motu82,ASV125,parent,95
motu83,motu83,ASV126,parent,96
motu84,motu84,ASV129,parent,97
motu85,motu85,ASV130,parent,98
motu86,motu86,ASV131,parent,82
motu86,motu86,ASV421,parent,82
motu86,motu86,ASV131,parent,82
motu87,motu87,ASV132,parent,69
motu87,motu87,ASV135,parent,69
motu87,motu87,ASV230,parent,69
motu87,motu87,ASV290,parent,69
motu87,motu87,ASV360,parent,69
motu87,motu87,ASV132,parent,69
motu88,motu88,ASV133,parent,77
motu88,motu88,ASV171,parent,77
motu88,motu88,ASV133,parent,77
motu89,motu89,ASV136,parent,103
motu90,motu90,ASV137,parent,80
motu90,motu90,ASV154,parent,80
motu90,motu90,ASV137,parent,80
motu91,motu91,ASV138,parent,105
motu92,motu92,ASV139,parent,106
motu93,motu93,ASV142,parent,86
motu93,motu93,ASV494,parent,86
motu93,motu93,ASV142,parent,86
motu94,motu94,ASV143,parent,107
motu95,motu95,ASV145,parent,108
motu96,motu96,ASV148,parent,110
motu97,motu97,ASV149,parent,84
motu97,motu97,ASV215,parent,84
motu97,motu97,ASV1945,parent,84
motu97,motu97,ASV1946,parent,84
motu97,motu97,ASV149,parent,84
motu98,motu98,ASV150,parent,91
motu98,motu98,ASV682,parent,91
motu98,motu98,ASV150,parent,91
motu99,motu99,ASV153,parent,111
motu100,motu100,ASV156,parent,112
motu101,motu101,ASV157,parent,83
motu101,motu101,ASV167,parent,83
motu101,motu101,ASV304,parent,83
motu101,motu101,ASV157,parent,83
motu102,motu102,ASV158,parent,87
motu102,motu102,ASV210,parent,87
motu102,motu102,ASV1088,parent,87
motu102,motu102,ASV158,parent,87
motu103,motu103,ASV160,parent,113
motu104,motu104,ASV161,parent,93
motu104,motu104,ASV957,parent,93
motu104,motu104,ASV161,parent,93
motu105,motu105,ASV162,parent,114
motu106,motu106,ASV164,parent,115
motu107,motu107,ASV168,parent,90
motu107,motu107,ASV258,parent,90
motu107,motu107,ASV593,parent,90
motu107,motu107,ASV168,parent,90
motu108,motu108,ASV172,parent,85
motu108,motu108,ASV227,parent,85
motu108,motu108,ASV239,parent,85
motu108,motu108,ASV172,parent,85
motu109,motu109,ASV177,parent,119
motu110,motu110,ASV181,parent,120
motu111,motu111,ASV182,parent,99
motu111,motu111,ASV933,parent,99
motu111,motu111,ASV1928,parent,99
motu111,motu111,ASV182,parent,99
motu112,motu112,ASV183,parent,121
motu113,motu113,ASV184,parent,122
motu114,motu114,ASV189,parent,123
motu115,motu115,ASV191,parent,124
motu116,motu116,ASV193,parent,102
motu116,motu116,ASV2058,parent,102
motu116,motu116,ASV193,parent,102
motu117,motu117,ASV195,parent,92
motu117,motu117,ASV216,parent,92
motu117,motu117,ASV492,parent,92
motu117,motu117,ASV195,parent,92
motu118,motu118,ASV197,parent,126
motu119,motu119,ASV198,parent,127
motu120,motu120,ASV202,parent,128
motu121,motu121,ASV203,parent,104
motu121,motu121,ASV432,parent,104
motu121,motu121,ASV203,parent,104
motu122,motu122,ASV208,parent,129
motu123,motu123,ASV211,parent,130
motu124,motu124,ASV217,parent,134
motu125,motu125,ASV218,parent,101
motu125,motu125,ASV252,parent,101
motu125,motu125,ASV218,parent,101
motu126,motu126,ASV221,parent,100
motu126,motu126,ASV229,parent,100
motu126,motu126,ASV221,parent,100
motu127,motu127,ASV228,parent,137
motu128,motu128,ASV231,parent,109
motu128,motu128,ASV276,parent,109
motu128,motu128,ASV231,parent,109
motu129,motu129,ASV234,parent,139
motu130,motu130,ASV236,parent,116
motu130,motu130,ASV543,parent,116
motu130,motu130,ASV236,parent,116
motu131,motu131,ASV237,parent,140
motu132,motu132,ASV240,parent,118
motu132,motu132,ASV1811,parent,118
motu132,motu132,ASV240,parent,118
motu133,motu133,ASV241,parent,117
motu133,motu133,ASV1000,parent,117
motu133,motu133,ASV241,parent,117
motu134,motu134,ASV248,parent,145
motu135,motu135,ASV250,parent,146
motu136,motu136,ASV255,parent,147
motu137,motu137,ASV260,parent,148
motu138,motu138,ASV261,parent,149
motu139,motu139,ASV263,parent,150
motu140,motu140,ASV265,parent,125
motu140,motu140,ASV488,parent,125
motu140,motu140,ASV265,parent,125
motu141,motu141,ASV266,parent,152
motu142,motu142,ASV268,parent,154
motu143,motu143,ASV278,parent,132
motu143,motu143,ASV629,parent,132
motu143,motu143,ASV833,parent,132
motu143,motu143,ASV278,parent,132
motu144,motu144,ASV285,parent,135
motu144,motu144,ASV706,parent,135
motu144,motu144,ASV811,parent,135
motu144,motu144,ASV1049,parent,135
motu144,motu144,ASV1271,parent,135
motu144,motu144,ASV1402,parent,135
motu144,motu144,ASV1529,parent,135
motu144,motu144,ASV285,parent,135
motu145,motu145,ASV286,parent,136
motu145,motu145,ASV1467,parent,136
motu145,motu145,ASV1563,parent,136
motu145,motu145,ASV1937,parent,136
motu145,motu145,ASV286,parent,136
motu146,motu146,ASV288,parent,159
motu147,motu147,ASV289,parent,162
motu148,motu148,ASV293,parent,163
motu149,motu149,ASV294,parent,164
motu150,motu150,ASV295,parent,138
motu150,motu150,ASV1479,parent,138
motu150,motu150,ASV295,parent,138
motu151,motu151,ASV297,parent,165
motu152,motu152,ASV298,parent,131
motu152,motu152,ASV325,parent,131
motu152,motu152,ASV298,parent,131
motu153,motu153,ASV300,parent,166
motu154,motu154,ASV303,parent,133
motu154,motu154,ASV321,parent,133
motu154,motu154,ASV303,parent,133
motu155,motu155,ASV305,parent,168
motu156,motu156,ASV308,parent,142
motu156,motu156,ASV1835,parent,142
motu156,motu156,ASV308,parent,142
motu157,motu157,ASV309,parent,171
motu158,motu158,ASV310,parent,144
motu158,motu158,ASV1651,parent,144
motu158,motu158,ASV310,parent,144
motu159,motu159,ASV312,parent,173
motu160,motu160,ASV314,parent,174
motu161,motu161,ASV316,parent,175
motu162,motu162,ASV319,parent,179
motu163,motu163,ASV327,parent,181
motu164,motu164,ASV328,parent,182
motu165,motu165,ASV329,parent,183
motu166,motu166,ASV330,parent,141
motu166,motu166,ASV456,parent,141
motu166,motu166,ASV330,parent,141
motu167,motu167,ASV331,parent,184
motu168,motu168,ASV332,parent,185
motu169,motu169,ASV333,parent,186
motu170,motu170,ASV334,parent,187
motu171,motu171,ASV335,parent,188
motu172,motu172,ASV336,parent,189
motu173,motu173,ASV340,parent,190
motu174,motu174,ASV341,parent,143
motu174,motu174,ASV457,parent,143
motu174,motu174,ASV722,parent,143
motu174,motu174,ASV1452,parent,143
motu174,motu174,ASV1802,parent,143
motu174,motu174,ASV1988,parent,143
motu174,motu174,ASV341,parent,143
motu175,motu175,ASV342,parent,191
motu176,motu176,ASV343,parent,192
motu177,motu177,ASV345,parent,193
motu178,motu178,ASV346,parent,155
motu178,motu178,ASV688,parent,155
motu178,motu178,ASV346,parent,155
motu179,motu179,ASV347,parent,194
motu180,motu180,ASV349,parent,157
motu180,motu180,ASV1163,parent,157
motu180,motu180,ASV1287,parent,157
motu180,motu180,ASV1385,parent,157
motu180,motu180,ASV1437,parent,157
motu180,motu180,ASV349,parent,157
motu181,motu181,ASV350,parent,196
motu182,motu182,ASV353,parent,197
motu183,motu183,ASV354,parent,153
motu183,motu183,ASV537,parent,153
motu183,motu183,ASV1412,parent,153
motu183,motu183,ASV354,parent,153
motu184,motu184,ASV356,parent,198
motu185,motu185,ASV357,parent,156
motu185,motu185,ASV622,parent,156
motu185,motu185,ASV1058,parent,156
motu185,motu185,ASV1283,parent,156
motu185,motu185,ASV357,parent,156
motu186,motu186,ASV358,parent,199
motu187,motu187,ASV361,parent,200
motu188,motu188,ASV366,parent,202
motu189,motu189,ASV367,parent,204
motu190,motu190,ASV368,parent,151
motu190,motu190,ASV446,parent,151
motu190,motu190,ASV368,parent,151
motu191,motu191,ASV369,parent,207
motu192,motu192,ASV370,parent,208
motu193,motu193,ASV372,parent,209
motu194,motu194,ASV373,parent,210
motu195,motu195,ASV375,parent,211
motu196,motu196,ASV377,parent,212
motu197,motu197,ASV378,parent,161
motu197,motu197,ASV1035,parent,161
motu197,motu197,ASV2041,parent,161
motu197,motu197,ASV378,parent,161
motu198,motu198,ASV381,parent,213
motu199,motu199,ASV383,parent,215
motu200,motu200,ASV384,parent,216
motu201,motu201,ASV386,parent,217
motu202,motu202,ASV387,parent,218
motu203,motu203,ASV388,parent,219
motu204,motu204,ASV389,parent,220
motu205,motu205,ASV390,parent,167
