2	2887	ASV624	2723	0	1	1
1	2684	ASV628	2684	0	0	0
1	2646	ASV630	2646	0	0	0
2	2876	ASV631	2630	0	1	1
1	2620	ASV633	2620	0	0	0
3	3197	ASV634	2616	0	1	1
1	2612	ASV635	2612	0	0	0
1	2610	ASV636	2610	0	0	0
2	2640	ASV637	2602	0	1	1
1	2600	ASV639	2600	0	0	0
1	2598	ASV640	2598	0	0	0
1	2596	ASV641	2596	0	0	0
2	4560	ASV643	2589	0	1	1
1	2571	ASV644	2571	0	0	0
1	2561	ASV645	2561	0	0	0
1	2549	ASV647	2549	0	0	0
1	2538	ASV649	2538	0	0	0
1	2535	ASV650	2535	0	0	0
1	2492	ASV654	2492	0	0	0
2	2843	ASV655	2488	0	1	1
2	3034	ASV657	2453	0	1	1
2	2537	ASV658	2447	0	1	1
1	2425	ASV659	2425	0	0	0
1	2414	ASV661	2414	0	0	0
1	2409	ASV662	2409	0	0	0
1	2403	ASV663	2403	0	0	0
1	2397	ASV664	2397	0	0	0
3	2729	ASV665	2378	0	2	2
1	2378	ASV666	2378	0	0	0
1	2376	ASV667	2376	0	0	0
1	2349	ASV669	2349	0	0	0
1	2345	ASV670	2345	0	0	0
1	2305	ASV671	2305	0	0	0
1	2277	ASV672	2277	0	0	0
1	2269	ASV673	2269	0	0	0
1	2253	ASV674	2253	0	0	0
1	2220	ASV677	2220	0	0	0
1	2203	ASV678	2203	0	0	0
1	2200	ASV679	2200	0	0	0
1	2170	ASV681	2170	0	0	0
