seed_asv,motu,asv,asv_reads
ASV236,motu130,ASV236,43390
ASV237,motu131,ASV237,38892
ASV240,motu132,ASV240,37885
ASV240,motu132,ASV1811,31
ASV240,motu132,ASV240,37916
ASV241,motu133,ASV241,37674
ASV241,motu133,ASV1000,652
ASV241,motu133,ASV241,38326
ASV248,motu134,ASV248,35092
ASV250,motu135,ASV250,34245
ASV255,motu136,ASV255,32019
ASV260,motu137,ASV260,29845
ASV261,motu138,ASV261,29772
ASV263,motu139,ASV263,29497
ASV265,motu140,ASV265,29140
ASV265,motu140,ASV488,5476
ASV265,motu140,ASV265,34616
ASV266,motu141,ASV266,28977
ASV268,motu142,ASV268,28514
ASV278,motu143,ASV278,24414
ASV278,motu143,ASV629,2675
ASV278,motu143,ASV833,1192
ASV278,motu143,ASV278,28281
ASV285,motu144,ASV285,23134
ASV285,motu144,ASV706,1979
ASV285,motu144,ASV811,1275
ASV285,motu144,ASV1049,549
ASV285,motu144,ASV1271,266
ASV285,motu144,ASV1402,165
ASV285,motu144,ASV1529,103
ASV285,motu144,ASV285,27471
ASV286,motu145,ASV286,22930
ASV286,motu145,ASV1467,129
ASV286,motu145,ASV1563,90
ASV286,motu145,ASV1937,16
ASV286,motu145,ASV286,23165
ASV288,motu146,ASV288,22754
ASV289,motu147,ASV289,21619
ASV293,motu148,ASV293,21103
ASV294,motu149,ASV294,20168
ASV295,motu150,ASV295,20128
ASV295,motu150,ASV1479,125
ASV295,motu150,ASV295,20253
ASV297,motu151,ASV297,19632
ASV298,motu152,ASV298,19517
ASV298,motu152,ASV325,14666
ASV298,motu152,ASV298,34183
ASV300,motu153,ASV300,19360
ASV303,motu154,ASV303,18738
ASV303,motu154,ASV321,15174
ASV303,motu154,ASV303,33912
ASV305,motu155,ASV305,18337
ASV308,motu156,ASV308,17728
ASV308,motu156,ASV1835,27
ASV308,motu156,ASV308,17755
ASV309,motu157,ASV309,17636
ASV310,motu158,ASV310,17596
ASV310,motu158,ASV1651,66
ASV310,motu158,ASV310,17662
ASV312,motu159,ASV312,17133
ASV314,motu160,ASV314,16980
ASV316,motu161,ASV316,16231
ASV319,motu162,ASV319,15433
ASV327,motu163,ASV327,14614
ASV328,motu164,ASV328,14550
ASV329,motu165,ASV329,14488
ASV330,motu166,ASV330,14487
ASV330,motu166,ASV456,6594
ASV330,motu166,ASV330,21081
ASV331,motu167,ASV331,14393
ASV332,motu168,ASV332,14340
ASV333,motu169,ASV333,14243
ASV334,motu170,ASV334,14212
ASV335,motu171,ASV335,14010
ASV336,motu172,ASV336,13976
ASV340,motu173,ASV340,13711
ASV341,motu174,ASV341,13461
ASV341,motu174,ASV457,6521
ASV341,motu174,ASV722,1845
ASV341,motu174,ASV1452,134
ASV341,motu174,ASV1802,33
ASV341,motu174,ASV1988,11
ASV341,motu174,ASV341,22005
ASV342,motu175,ASV342,13379
ASV343,motu176,ASV343,13305
ASV345,motu177,ASV345,13093
ASV346,motu178,ASV346,13023
ASV346,motu178,ASV688,2091
ASV346,motu178,ASV346,15114
ASV347,motu179,ASV347,12986
ASV349,motu180,ASV349,12647
ASV349,motu180,ASV1163,377
ASV349,motu180,ASV1287,250
ASV349,motu180,ASV1385,175
ASV349,motu180,ASV1437,140
ASV349,motu180,ASV349,13589
ASV350,motu181,ASV350,12575
ASV353,motu182,ASV353,12249
ASV354,motu183,ASV354,12203
ASV354,motu183,ASV537,4027
ASV354,motu183,ASV1412,159
ASV354,motu183,ASV354,16389
ASV356,motu184,ASV356,12100
ASV357,motu185,ASV357,12095
ASV357,motu185,ASV622,2760
ASV357,motu185,ASV1058,540
ASV357,motu185,ASV1283,255
ASV357,motu185,ASV357,15650
ASV358,motu186,ASV358,12055
ASV361,motu187,ASV361,11968
ASV366,motu188,ASV366,11511
ASV367,motu189,ASV367,11466
ASV368,motu190,ASV368,11117
ASV368,motu190,ASV446,7072
ASV368,motu190,ASV368,18189
ASV369,motu191,ASV369,11056
ASV370,motu192,ASV370,10975
ASV372,motu193,ASV372,10800
ASV373,motu194,ASV373,10787
ASV375,motu195,ASV375,10740
ASV377,motu196,ASV377,10597
ASV378,motu197,ASV378,10573
